X,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
WBGene00050564,0,0,0,0,0,0
WBGene00050565,0,0,0,0,0,0
WBGene00050566,0,0,0,0,0,0
WBGene00050567,0,0,0,0,0,0
WBGene00050568,0,0,0,0,0,0
WBGene00050569,0,0,0,0,0,0
WBGene00050570,0,0,0,0,0,0
WBGene00050571,0,0,0,0,0,0
WBGene00050572,0,0,0,0,0,0
WBGene00050573,0,0,0,0,0,0
WBGene00050574,0,0,0,0,0,0
WBGene00050575,0,0,0,0,0,0
WBGene00050576,0,0,0,0,0,0
WBGene00050577,0,0,0,0,0,0
WBGene00050578,0,0,0,0,0,0
WBGene00050579,0,0,0,0,0,0
WBGene00050580,0,0,0,0,0,0
WBGene00050581,0,0,0,0,0,0
WBGene00050582,0,0,0,0,0,0
WBGene00050583,0,0,0,0,0,0
WBGene00050584,0,0,0,0,0,0
WBGene00050585,0,0,0,0,0,0
WBGene00050586,0,0,0,0,0,0
WBGene00050587,0,0,0,0,0,0
WBGene00050588,0,0,0,0,0,0
WBGene00050589,0,0,0,0,0,0
WBGene00050590,1,0,0,1,0,2
WBGene00050591,0,0,0,0,0,0
WBGene00050592,0,0,0,0,0,0
WBGene00050593,0,0,0,0,0,0
WBGene00050594,0,0,0,0,0,0
WBGene00050595,0,0,0,0,0,0
WBGene00050596,0,0,0,0,0,0
WBGene00050597,0,0,0,0,0,0
WBGene00050598,0,0,0,0,0,0
WBGene00050599,0,0,0,0,0,0
WBGene00050600,0,0,0,0,0,0
WBGene00050601,0,0,0,0,0,0
WBGene00050602,0,0,0,0,0,0
WBGene00050603,0,0,0,0,0,0
WBGene00050604,0,0,0,0,0,0
WBGene00050605,0,0,0,0,0,0
WBGene00050606,0,0,0,0,0,0
WBGene00050607,0,0,0,0,0,0
WBGene00050608,0,0,0,0,0,0
WBGene00050609,0,0,0,0,0,0
WBGene00050610,0,0,0,0,0,0
WBGene00050611,0,0,0,0,0,0
WBGene00050612,0,0,0,0,0,0
WBGene00050613,0,0,0,0,0,0
WBGene00050614,0,0,0,0,0,0
WBGene00050615,0,0,0,0,0,0
WBGene00050616,0,0,0,0,0,0
WBGene00050617,0,0,0,0,0,0
WBGene00050618,0,0,0,0,0,0
WBGene00050619,0,0,0,0,0,0
WBGene00050620,0,0,0,0,0,0
WBGene00050621,0,0,0,0,0,0
WBGene00050622,0,0,0,0,0,0
WBGene00050623,0,0,0,0,0,0
WBGene00050624,0,0,0,0,0,0
WBGene00050625,0,0,0,0,0,0
WBGene00050626,0,0,0,0,0,0
WBGene00050627,0,0,0,0,0,0
WBGene00050628,0,0,0,0,0,0
WBGene00050629,0,2,0,0,0,3
WBGene00050630,0,0,0,0,0,0
WBGene00050631,0,0,0,0,0,0
WBGene00050632,0,0,0,0,0,0
WBGene00050633,0,0,0,0,0,0
WBGene00050634,0,0,0,0,0,0
WBGene00050635,1,0,0,0,0,0
WBGene00050636,0,0,0,0,0,0
WBGene00050637,0,0,0,0,0,0
WBGene00050638,0,0,0,0,0,0
WBGene00050639,0,0,0,0,0,0
WBGene00050640,0,0,0,0,0,0
WBGene00050641,0,0,0,0,0,0
WBGene00050642,0,0,0,0,0,0
WBGene00050643,0,0,0,0,0,0
WBGene00050644,0,0,0,0,0,0
WBGene00050645,0,0,0,0,0,0
WBGene00050646,0,0,0,0,0,0
WBGene00050647,0,0,0,0,0,0
WBGene00050648,0,0,0,0,0,0
WBGene00050649,0,0,0,0,0,0
WBGene00050650,0,0,0,0,0,0
WBGene00050651,0,0,0,0,0,0
WBGene00050652,0,0,0,0,0,0
WBGene00050653,0,0,0,0,0,0
WBGene00050654,0,0,0,0,0,0
WBGene00050655,0,0,0,0,0,0
WBGene00050656,0,0,0,0,0,0
WBGene00050657,0,0,0,0,0,0
WBGene00050658,0,0,0,0,0,0
WBGene00050659,0,0,0,0,0,0
WBGene00050660,0,0,0,0,0,0
WBGene00050661,0,0,0,0,0,0
WBGene00050662,0,0,0,0,0,0
WBGene00050663,0,0,0,0,0,0
WBGene00050664,0,0,0,0,0,0
WBGene00050665,0,0,0,0,0,0
WBGene00050666,0,0,0,0,0,0
WBGene00050667,0,0,0,0,0,0
WBGene00050668,0,0,0,0,0,0
WBGene00050669,0,0,0,0,0,0
WBGene00050670,0,0,0,0,0,0
WBGene00050671,0,0,0,0,0,0
WBGene00050672,0,0,0,0,0,0
WBGene00050673,0,0,0,0,0,0
WBGene00050674,0,0,0,0,0,0
WBGene00050675,0,0,0,0,0,0
WBGene00050676,0,0,0,0,0,0
WBGene00050677,0,0,0,0,0,0
WBGene00050678,0,0,0,0,0,0
WBGene00050679,0,0,0,0,0,0
WBGene00050680,0,0,0,0,0,0
WBGene00050681,0,0,1,0,0,0
WBGene00050682,0,0,0,0,0,0
WBGene00050683,0,0,0,0,0,0
WBGene00050684,0,0,0,0,0,0
WBGene00050685,0,0,0,0,0,0
WBGene00050686,0,0,0,0,0,0
WBGene00050687,0,0,0,0,0,0
WBGene00050688,0,0,0,0,0,0
WBGene00050689,0,0,0,0,0,0
WBGene00050690,0,0,0,0,0,0
WBGene00050691,0,0,0,0,0,0
WBGene00050692,0,1,0,0,0,0
WBGene00050693,1,1,0,0,1,0
WBGene00050694,0,0,0,0,0,0
WBGene00050695,0,0,0,0,0,0
WBGene00050696,0,0,0,0,0,0
WBGene00050697,0,0,0,0,0,0
WBGene00050698,0,0,0,0,0,0
WBGene00050699,0,0,0,0,0,0
WBGene00050700,0,0,0,0,0,0
WBGene00050701,0,0,0,0,0,0
WBGene00050702,0,0,0,0,0,0
WBGene00050703,0,0,0,0,0,0
WBGene00050704,0,0,0,0,0,0
WBGene00050705,0,0,0,0,0,0
WBGene00050706,0,0,0,0,0,0
WBGene00050707,0,0,0,0,0,0
WBGene00050708,0,0,0,0,0,0
WBGene00050709,0,0,0,0,0,0
WBGene00050710,0,0,0,0,0,0
WBGene00050711,0,0,0,0,0,0
WBGene00050712,0,0,0,0,0,0
WBGene00050713,0,0,0,0,0,0
WBGene00050714,0,0,0,0,0,0
WBGene00050715,0,0,0,0,0,0
WBGene00050716,0,0,0,0,0,0
WBGene00050717,0,0,0,0,0,0
WBGene00050718,0,0,0,0,0,0
WBGene00050719,0,0,0,0,0,0
WBGene00050720,0,0,0,0,0,0
WBGene00050721,0,0,0,0,0,0
WBGene00050722,0,0,0,0,0,0
WBGene00050723,0,0,0,0,0,0
WBGene00050724,0,0,0,0,0,0
WBGene00050725,0,0,0,0,0,0
WBGene00050726,0,0,0,0,0,0
WBGene00050727,0,0,0,0,0,0
WBGene00050728,0,0,0,0,0,0
WBGene00050729,0,0,0,0,0,0
WBGene00050730,0,0,0,0,0,0
WBGene00050731,0,0,0,0,0,0
WBGene00050732,0,1,0,0,0,0
WBGene00050733,0,0,0,0,0,0
WBGene00050734,0,0,0,0,0,0
WBGene00050735,0,0,0,0,0,0
WBGene00050736,0,0,0,0,0,0
WBGene00050737,0,0,0,0,0,0
WBGene00050738,0,0,0,0,0,0
WBGene00050739,0,0,0,0,0,0
WBGene00050740,0,0,0,0,0,0
WBGene00050741,0,0,0,0,0,0
WBGene00050742,0,0,0,0,0,0
WBGene00050743,0,0,0,0,0,0
WBGene00050744,0,0,0,0,0,0
WBGene00050745,0,0,0,0,0,0
WBGene00050746,0,0,0,0,1,1
WBGene00050747,0,0,0,0,0,0
WBGene00050748,0,0,0,0,1,0
WBGene00050749,0,0,0,0,0,0
WBGene00050750,0,0,0,0,0,0
WBGene00050751,0,0,0,0,0,0
WBGene00050752,0,0,0,0,0,0
WBGene00050753,0,0,0,0,0,0
WBGene00050754,0,0,0,0,0,0
WBGene00050755,0,0,0,0,0,0
WBGene00050756,0,0,0,0,0,0
WBGene00050757,0,0,0,0,0,0
WBGene00050758,0,0,0,0,0,0
WBGene00050759,0,0,0,0,0,0
WBGene00050760,0,0,0,0,0,0
WBGene00050761,0,0,0,0,0,0
WBGene00050762,0,0,0,0,0,0
WBGene00050763,0,0,0,0,0,0
WBGene00050764,0,0,0,0,0,0
WBGene00050765,0,0,0,0,0,0
WBGene00050766,0,0,0,0,0,0
WBGene00050767,0,0,0,0,0,0
WBGene00050768,0,0,0,0,0,0
WBGene00050769,0,0,0,0,0,0
WBGene00050770,0,0,0,0,0,0
WBGene00050771,0,0,0,0,0,0
WBGene00050772,0,0,1,0,0,0
WBGene00050773,0,0,0,0,0,0
WBGene00050774,0,0,0,0,0,0
WBGene00050775,0,0,0,0,0,0
WBGene00050776,0,0,0,0,0,0
WBGene00050777,0,0,0,0,0,0
WBGene00050778,0,0,0,0,0,0
WBGene00050779,0,0,0,0,0,0
WBGene00050780,0,0,0,0,0,0
WBGene00050781,0,0,0,0,0,0
WBGene00050782,0,0,0,0,0,0
WBGene00050783,0,0,0,0,0,0
WBGene00050784,0,0,0,0,0,0
WBGene00050785,0,0,0,0,0,0
WBGene00050786,0,0,0,0,0,0
WBGene00050787,0,0,0,0,0,0
WBGene00050788,0,0,0,0,0,0
WBGene00050789,0,0,0,0,0,0
WBGene00050790,0,0,0,0,0,0
WBGene00050791,0,0,0,0,0,0
WBGene00050792,0,0,0,0,0,0
WBGene00050793,0,0,0,0,0,0
WBGene00050794,0,0,0,0,0,0
WBGene00050795,0,0,0,0,0,0
WBGene00050796,0,0,0,0,0,0
WBGene00050797,0,0,0,0,0,0
WBGene00050798,0,0,0,0,0,0
WBGene00050799,0,0,0,0,0,0
WBGene00050800,0,0,0,0,0,0
WBGene00050801,0,0,0,0,0,0
WBGene00050802,0,0,0,0,0,0
WBGene00050803,0,0,0,0,0,0
WBGene00050804,0,0,0,0,0,0
WBGene00050805,0,0,0,0,0,0
WBGene00050806,0,0,0,0,0,0
WBGene00050807,0,0,0,0,0,0
WBGene00050808,0,0,0,0,0,0
WBGene00050809,0,0,0,0,0,0
WBGene00050810,0,0,0,0,0,0
WBGene00050811,0,0,0,0,0,0
WBGene00050812,0,0,0,0,0,0
WBGene00050813,0,0,0,0,0,0
WBGene00050814,0,0,0,0,0,0
WBGene00050815,0,0,0,0,0,0
WBGene00050816,0,0,0,0,0,0
WBGene00050817,0,0,0,0,0,0
WBGene00050818,0,0,0,0,0,0
WBGene00050819,0,0,0,0,0,0
WBGene00050820,0,0,0,0,0,0
WBGene00050821,0,0,0,0,0,0
WBGene00050822,0,0,0,0,0,0
WBGene00050823,0,0,0,0,0,0
WBGene00050824,0,0,0,0,0,0
WBGene00050825,0,0,0,0,0,0
WBGene00050826,0,0,0,0,0,0
WBGene00050827,0,0,0,0,0,0
WBGene00050828,0,0,0,0,0,0
WBGene00050829,0,0,0,0,0,0
WBGene00050830,0,0,0,0,0,0
WBGene00050831,0,0,0,0,0,0
WBGene00050832,0,0,0,0,0,0
WBGene00050833,0,0,0,0,0,0
WBGene00050834,0,0,0,0,0,0
WBGene00050835,0,0,0,0,0,0
WBGene00050836,0,0,0,0,0,0
WBGene00050837,0,0,0,0,0,0
WBGene00050838,0,1,0,0,0,0
WBGene00050839,0,0,0,0,0,0
WBGene00050840,0,0,0,0,0,0
WBGene00050841,0,0,0,0,0,0
WBGene00050842,0,0,0,0,0,0
WBGene00050843,0,0,0,0,0,0
WBGene00050844,0,0,0,0,0,0
WBGene00050845,0,0,0,0,0,0
WBGene00050846,0,0,0,0,0,0
WBGene00050847,0,0,0,0,0,0
WBGene00050848,0,0,0,0,0,0
WBGene00050849,0,0,0,0,0,0
WBGene00050850,0,0,0,0,0,0
WBGene00050851,0,0,0,0,0,0
WBGene00050852,0,0,0,0,0,0
WBGene00050853,0,0,0,0,0,0
WBGene00050854,0,0,0,0,0,0
WBGene00050855,0,1,0,0,0,1
WBGene00050856,0,0,0,0,0,0
WBGene00050857,0,0,0,0,0,0
WBGene00050858,0,0,0,0,0,0
WBGene00050859,0,1,0,1,0,0
WBGene00050860,0,0,0,0,0,0
WBGene00050861,0,0,2,0,0,0
WBGene00050862,0,0,0,0,0,0
WBGene00050863,0,0,0,0,0,0
WBGene00050864,0,0,0,0,0,0
WBGene00050865,0,0,0,0,0,0
WBGene00050866,0,0,0,0,0,0
WBGene00050867,0,0,0,0,0,0
WBGene00050868,0,0,0,0,0,0
WBGene00050869,0,0,0,0,0,0
WBGene00050870,0,0,0,0,0,0
WBGene00050871,0,0,0,0,0,0
WBGene00050873,0,0,0,0,0,0
WBGene00050874,0,0,0,0,0,0
WBGene00050875,9,19,28,10,12,22
WBGene00050878,4,6,10,5,12,7
WBGene00050879,0,1,0,0,2,3
WBGene00050880,2,0,1,2,0,2
WBGene00050881,2,4,1,4,3,0
WBGene00050883,13,18,11,7,9,6
WBGene00050884,6,5,9,14,17,10
WBGene00050885,162,169,167,161,244,256
WBGene00050889,1,1,3,0,2,1
WBGene00050890,0,0,0,0,0,0
WBGene00050891,2,2,3,0,2,3
WBGene00050892,1,2,3,3,4,11
WBGene00050893,0,0,0,1,0,0
WBGene00050894,0,0,0,0,0,0
WBGene00050896,1,1,1,0,0,1
WBGene00050897,0,0,0,0,0,0
WBGene00050898,0,0,0,0,0,0
WBGene00050899,11,24,13,3,11,14
WBGene00050900,2,1,0,0,0,0
WBGene00050902,0,1,2,0,0,1
WBGene00050903,14,15,15,3,7,3
WBGene00050904,9,9,9,3,13,1
WBGene00050906,7,10,19,12,16,8
WBGene00050907,0,0,0,0,1,0
WBGene00050910,8,6,6,2,3,6
WBGene00050911,12,19,18,7,14,13
WBGene00050912,0,0,0,0,0,0
WBGene00050913,43,44,30,35,63,66
WBGene00050914,685,825,843,930,1164,1196
WBGene00050915,2,0,2,0,3,1
WBGene00050916,2,1,2,0,1,0
WBGene00050917,31,23,20,22,22,45
WBGene00050919,0,2,4,1,6,3
WBGene00050920,12,11,11,8,13,6
WBGene00050921,0,0,0,0,0,0
WBGene00050922,0,0,0,0,0,0
WBGene00050923,0,0,0,0,1,0
WBGene00050924,0,0,0,0,0,0
WBGene00050926,12,20,17,12,15,7
WBGene00050927,163,170,164,91,136,153
WBGene00050928,0,0,0,0,0,0
WBGene00050929,0,2,3,0,0,2
WBGene00050930,5,15,9,11,16,11
WBGene00050931,2,0,0,0,0,0
WBGene00050932,0,0,1,0,0,0
WBGene00050933,0,0,0,1,0,1
WBGene00050934,1,4,3,0,2,4
WBGene00050935,32,39,24,23,36,39
WBGene00050936,637,602,616,625,841,764
WBGene00050937,441,435,462,448,597,634
WBGene00050938,2,0,0,0,1,0
WBGene00050939,7,7,14,2,12,15
WBGene00050940,1,1,0,2,1,3
WBGene00050941,1616,1685,1753,1613,2216,2070
WBGene00050943,135,169,159,141,145,155
WBGene00050944,635,586,616,616,827,690
WBGene00050945,12,11,21,13,17,17
WBGene00050946,63,61,50,40,61,48
WBGene00050947,5,7,5,4,12,11
WBGene00050948,70,82,85,90,102,119
WBGene00050949,0,0,0,0,0,0
WBGene00050950,0,0,0,0,1,0
WBGene00050951,0,0,0,0,0,1
WBGene00050954,0,0,0,0,0,0
WBGene00050955,0,0,0,0,0,0
WBGene00050956,1,3,2,0,2,1
WBGene00050957,97,95,85,87,119,111
WBGene00050958,0,3,0,2,1,4
WBGene00050959,1,3,1,0,0,0
WBGene00050960,0,0,0,0,0,0
WBGene00050961,0,0,0,0,0,0
WBGene00050962,0,0,0,0,0,0
WBGene00050963,0,0,0,0,0,0
WBGene00050964,2,2,1,1,2,1
WBGene00050965,0,1,2,0,0,0
WBGene00050967,2,5,3,1,4,1
WBGene00050968,0,1,0,0,1,0
WBGene00050970,47,46,51,35,82,54
WBGene00050971,3,6,4,3,10,7
WBGene00050972,0,0,0,0,2,0
WBGene00050973,2,2,0,1,0,2
WBGene00050974,2,0,1,1,1,2
WBGene00050975,2,9,5,4,8,3
WBGene00050976,0,0,1,0,0,0
WBGene00050977,0,1,1,1,0,1
WBGene00077434,1,1,1,1,1,2
WBGene00077436,0,0,1,0,0,0
WBGene00077437,163,182,180,189,224,222
WBGene00077438,5,4,6,1,3,4
WBGene00077439,3,8,4,8,11,4
WBGene00077440,0,0,0,0,0,0
WBGene00077441,68,78,81,40,63,56
WBGene00077442,1,0,0,0,0,0
WBGene00077443,419,420,433,439,629,520
WBGene00077444,45,65,58,50,60,59
WBGene00077445,0,0,0,0,0,0
WBGene00077446,0,0,0,0,1,0
WBGene00077447,0,0,1,0,0,0
WBGene00077448,3,1,2,2,4,1
WBGene00077449,10,7,9,6,13,7
WBGene00077450,1,4,3,2,2,5
WBGene00077451,3,1,0,1,1,5
WBGene00077452,1,1,0,0,0,0
WBGene00077453,842,944,977,1022,1380,1314
WBGene00077454,0,0,2,0,1,0
WBGene00077455,0,2,3,1,4,4
WBGene00077456,0,1,0,0,0,0
WBGene00077457,1142,1143,1152,1008,1423,949
WBGene00077459,0,1,0,2,0,0
WBGene00077460,0,0,0,0,0,0
WBGene00077461,0,0,0,0,0,0
WBGene00077462,1,3,0,0,1,1
WBGene00077463,0,0,0,0,0,0
WBGene00077464,0,0,0,0,0,0
WBGene00077465,0,0,0,0,1,0
WBGene00077466,0,0,0,0,0,0
WBGene00077467,0,0,0,0,0,0
WBGene00077468,0,0,0,0,4,1
WBGene00077469,2,1,0,2,2,0
WBGene00077470,1,1,0,0,3,1
WBGene00077471,0,1,0,3,1,1
WBGene00077472,4,2,0,0,0,0
WBGene00077473,0,2,0,3,2,2
WBGene00077474,0,0,1,1,0,1
WBGene00077475,1,1,2,1,4,0
WBGene00077476,1,2,0,2,1,1
WBGene00077477,0,1,1,1,1,2
WBGene00077478,0,0,0,0,0,0
WBGene00077479,0,1,0,0,0,0
WBGene00077480,0,0,0,0,0,0
WBGene00077481,0,1,0,0,1,1
WBGene00077482,0,0,0,0,0,0
WBGene00077483,0,1,1,0,0,0
WBGene00077484,0,0,0,0,0,0
WBGene00077485,0,0,0,0,0,0
WBGene00077486,0,0,0,0,0,0
WBGene00077487,0,0,0,0,0,0
WBGene00077488,0,0,0,0,0,0
WBGene00077489,2,1,1,1,3,2
WBGene00077490,108,117,105,59,83,74
WBGene00077491,2,2,4,1,6,2
WBGene00077492,0,0,0,0,1,0
WBGene00077493,1,4,1,0,2,1
WBGene00077494,0,0,0,0,0,0
WBGene00077495,9,7,9,7,9,5
WBGene00077496,1,1,0,1,2,0
WBGene00077497,7,10,16,11,18,9
WBGene00077498,2,4,4,4,2,3
WBGene00077499,2,0,0,0,1,0
WBGene00077500,1434,1431,1551,1619,1873,1629
WBGene00077501,0,0,0,1,0,0
WBGene00077502,0,0,0,0,0,0
WBGene00077503,0,0,0,0,0,0
WBGene00077504,1,3,2,2,1,1
WBGene00077506,0,0,1,0,1,1
WBGene00077508,43,66,57,40,63,49
WBGene00077510,0,0,0,0,0,2
WBGene00077514,0,0,2,1,2,1
WBGene00077515,2,0,1,0,0,0
WBGene00077516,0,0,1,0,0,0
WBGene00077517,0,0,0,0,0,0
WBGene00077519,1,4,6,2,4,1
WBGene00077520,4,9,8,6,5,11
WBGene00077521,97,97,99,77,116,93
WBGene00077522,0,0,1,2,0,4
WBGene00077523,5,0,2,0,6,2
WBGene00077524,0,0,0,0,1,1
WBGene00077525,115,126,131,112,127,149
WBGene00077526,3086,3117,3157,3080,4088,3893
WBGene00077527,0,0,0,0,1,0
WBGene00077531,156,167,135,82,98,116
WBGene00077534,0,0,0,0,0,0
WBGene00077535,1,3,5,7,4,2
WBGene00077536,1,2,6,4,5,3
WBGene00077537,133,155,138,155,157,177
WBGene00077538,5,5,2,2,8,4
WBGene00077539,88,88,87,74,90,96
WBGene00077543,517,526,659,626,804,822
WBGene00077546,4,3,5,1,2,3
WBGene00077548,4,2,0,0,0,0
WBGene00077549,0,1,0,2,0,0
WBGene00077551,1,3,1,0,0,0
WBGene00077552,17,21,28,13,26,16
WBGene00077553,4,12,7,9,13,13
WBGene00077555,0,0,0,0,1,0
WBGene00077556,5,14,5,1,7,9
WBGene00077557,11,5,9,7,7,9
WBGene00077558,11,13,20,18,23,18
WBGene00077559,115,135,124,108,155,116
WBGene00077561,0,1,3,0,1,2
WBGene00077562,0,0,0,0,0,1
WBGene00077563,2,3,2,1,1,0
WBGene00077564,11,16,9,12,18,10
WBGene00077565,0,0,1,0,0,0
WBGene00077566,0,2,0,0,0,0
WBGene00077567,0,1,1,1,0,0
WBGene00077568,34,48,46,39,35,36
WBGene00077569,0,2,4,0,0,2
WBGene00077570,98,85,63,44,66,58
WBGene00077571,0,1,0,0,0,0
WBGene00077572,0,1,1,1,2,0
WBGene00077573,3,2,8,5,3,1
WBGene00077574,2,1,2,1,4,1
WBGene00077575,0,0,0,0,0,0
WBGene00077576,0,0,2,0,0,0
WBGene00077577,1,0,0,0,2,0
WBGene00077579,0,0,0,1,0,0
WBGene00077580,0,1,0,0,0,1
WBGene00077581,3,3,1,1,4,2
WBGene00077582,7,4,5,0,5,4
WBGene00077583,1,0,0,0,1,1
WBGene00077584,0,2,0,0,0,1
WBGene00077585,118,116,84,83,128,101
WBGene00077586,0,1,0,1,0,0
WBGene00077588,0,1,0,0,0,0
WBGene00077589,0,0,0,0,0,0
WBGene00077590,0,0,0,0,0,0
WBGene00077591,66,80,85,57,90,44
WBGene00077592,3,1,2,0,1,1
WBGene00077593,268,298,351,231,278,303
WBGene00077594,63,65,65,82,55,51
WBGene00077595,0,0,2,0,0,0
WBGene00077596,0,0,0,0,0,0
WBGene00077597,0,0,0,0,0,0
WBGene00077598,0,0,0,0,0,0
WBGene00077599,5,2,3,4,3,4
WBGene00077600,0,0,0,0,0,0
WBGene00077601,0,0,0,0,0,0
WBGene00077602,0,0,0,0,0,0
WBGene00077603,3,3,1,2,5,3
WBGene00077604,0,0,0,0,0,0
WBGene00077605,0,0,0,0,0,0
WBGene00077606,21,9,19,17,17,20
WBGene00077607,23,22,22,29,23,16
WBGene00077608,0,0,0,2,1,1
WBGene00077609,2,0,0,0,0,0
WBGene00077610,0,0,0,0,0,0
WBGene00077611,1,2,1,1,1,0
WBGene00077612,0,0,0,0,0,0
WBGene00077613,2,0,0,2,0,2
WBGene00077614,0,0,0,0,0,0
WBGene00077615,0,0,0,0,0,1
WBGene00077616,4,3,7,3,3,7
WBGene00077617,0,0,0,0,0,0
WBGene00077618,1,0,0,1,1,0
WBGene00077619,1,0,0,0,1,1
WBGene00077620,0,0,0,0,0,0
WBGene00077621,0,0,0,0,0,0
WBGene00077622,1,1,3,1,2,4
WBGene00077624,0,1,0,0,1,0
WBGene00077625,0,0,0,0,0,0
WBGene00077626,0,0,0,0,0,0
WBGene00077627,1,1,0,0,0,0
WBGene00077629,2,3,1,0,1,1
WBGene00077630,0,0,0,0,0,0
WBGene00077631,0,0,0,0,0,0
WBGene00077632,1,0,1,0,0,2
WBGene00077633,0,0,0,0,0,0
WBGene00077634,1,2,2,3,1,0
WBGene00077635,0,1,0,0,1,1
WBGene00077636,160,194,182,104,152,110
WBGene00077637,0,0,0,0,0,0
WBGene00077638,0,0,0,0,1,0
WBGene00077640,2,3,1,2,2,0
WBGene00077641,0,0,0,0,0,0
WBGene00077642,1,1,0,3,2,0
WBGene00077643,552,498,545,496,655,703
WBGene00077644,1,0,0,0,0,0
WBGene00077646,1,2,6,1,2,2
WBGene00077647,7,8,6,6,13,13
WBGene00077648,0,0,2,1,1,1
WBGene00077649,1,0,0,0,1,0
WBGene00077650,0,0,0,0,0,0
WBGene00077651,0,1,0,0,0,0
WBGene00077652,71,78,59,48,70,52
WBGene00077653,38,44,43,48,53,43
WBGene00077654,0,1,0,0,2,2
WBGene00077655,0,0,0,0,0,0
WBGene00077656,0,1,0,1,0,0
WBGene00077657,0,0,0,0,0,0
WBGene00077658,966,1014,955,1087,1457,1317
WBGene00077659,3,0,1,0,0,0
WBGene00077660,2,1,2,2,1,0
WBGene00077662,52,53,41,41,48,36
WBGene00077663,82,95,100,64,87,97
WBGene00077664,56,77,54,33,63,49
WBGene00077666,4,2,4,2,1,5
WBGene00077667,0,0,0,0,0,0
WBGene00077669,20,19,20,11,21,15
WBGene00077670,7,7,3,4,3,3
WBGene00077671,0,0,0,0,0,0
WBGene00077673,6,1,3,6,3,3
WBGene00077674,2,5,3,0,0,4
WBGene00077679,2,4,6,0,5,2
WBGene00077680,0,2,4,3,3,4
WBGene00077681,4,7,5,2,3,6
WBGene00077682,0,1,0,0,0,0
WBGene00077684,12,15,10,13,8,8
WBGene00077685,0,0,0,0,3,0
WBGene00077686,0,0,0,0,0,0
WBGene00077687,3,3,2,2,4,2
WBGene00077688,1,0,0,0,3,1
WBGene00077689,37,50,53,9,35,31
WBGene00077690,113,110,107,111,134,138
WBGene00077691,30,29,34,10,29,10
WBGene00077692,11,7,8,10,14,7
WBGene00077693,212,205,182,219,251,280
WBGene00077694,2,6,2,4,3,3
WBGene00077695,0,0,0,0,0,0
WBGene00077696,3,5,0,1,0,0
WBGene00077697,19,31,27,20,24,33
WBGene00077698,44,33,13,51,48,38
WBGene00077699,7,5,10,9,15,6
WBGene00077701,108,106,87,126,166,141
WBGene00077703,1,2,2,3,3,3
WBGene00077704,0,3,4,2,8,4
WBGene00077705,1,1,0,0,0,1
WBGene00077706,0,1,2,0,0,0
WBGene00077707,2,3,2,0,0,0
WBGene00077708,0,0,0,0,0,0
WBGene00077709,0,0,0,0,0,0
WBGene00077712,79,117,90,80,113,86
WBGene00077714,38,46,34,28,41,37
WBGene00077715,0,0,0,0,0,0
WBGene00077716,0,0,0,0,0,0
WBGene00077717,0,0,1,0,0,0
WBGene00077718,1,0,0,0,0,0
WBGene00077719,0,0,0,0,0,0
WBGene00077720,0,0,0,0,0,0
WBGene00077721,0,0,0,0,0,0
WBGene00077722,0,0,0,0,0,0
WBGene00077723,0,0,0,0,0,0
WBGene00077724,0,0,0,0,0,0
WBGene00077725,0,2,0,0,0,0
WBGene00077726,0,0,0,0,0,0
WBGene00077727,0,0,0,0,0,0
WBGene00077728,3,4,2,3,1,6
WBGene00077732,7569,7478,8551,8463,10405,7589
WBGene00077750,0,0,0,0,0,0
WBGene00077751,28,41,26,21,23,23
WBGene00077752,8,7,8,3,10,12
WBGene00077753,0,0,0,0,0,0
WBGene00077754,0,0,0,0,0,1
WBGene00077755,59,79,65,89,122,122
WBGene00077756,73,77,76,39,55,38
WBGene00077757,160,179,161,235,278,279
WBGene00077758,0,0,0,0,0,0
WBGene00077759,0,0,0,1,0,1
WBGene00077761,1346,1606,1464,975,1207,1095
WBGene00077762,7,15,7,6,12,8
WBGene00077763,1,1,2,1,3,0
WBGene00077764,121,131,217,258,324,412
WBGene00077765,177,159,178,101,148,147
WBGene00077766,0,1,0,0,0,0
WBGene00077767,0,0,0,0,0,0
WBGene00077768,7,8,7,5,6,8
WBGene00077769,26,14,21,4,13,7
WBGene00077770,543,537,542,525,744,695
WBGene00077771,2660,2624,2776,2604,3820,3708
WBGene00077772,63,68,65,54,58,60
WBGene00077773,84,76,80,72,102,91
WBGene00077775,50,62,57,48,60,51
WBGene00077781,65,89,79,52,84,72
WBGene00077782,1,0,2,0,1,0
WBGene00077783,12,14,3,5,9,8
WBGene00077784,8,6,11,8,16,17
WBGene00077785,1,0,2,0,3,3
WBGene00077786,8,13,15,12,18,12
WBGene00077787,44,43,33,28,34,35
WBGene00077788,1,6,0,1,2,0
WBGene00077789,2,4,4,1,5,4
WBGene00086546,2514,2400,2763,2816,3589,3284
WBGene00086551,1506,1468,1578,1702,2159,2085
WBGene00086552,0,0,0,0,0,0
WBGene00086553,2,4,7,5,3,4
WBGene00086554,0,2,1,0,2,1
WBGene00086555,80,66,71,34,66,67
WBGene00086556,0,1,2,0,0,1
WBGene00086557,36,30,45,40,48,37
WBGene00086558,6,6,4,5,7,7
WBGene00086559,4,2,3,2,3,3
WBGene00086560,2,3,6,7,14,13
WBGene00086561,7,6,8,7,6,9
WBGene00086562,41,48,50,32,46,40
