external_gene_name,Nr35.counts,Nr36.counts,Nr37.counts,Nr38.counts
F59C6.12,96,98,83,117
H28O16.1,171047,171380,173229,185671
H31B20.1,3,5,4,1
H31B20.2,1,1,0,0
H32K16.2,4,6,2,9
calponin,1188,1065,996,1129
cdk-2,1229,1119,1230,1270
bli-4,49216,45028,43052,48316
apr-1,17977,16968,15344,18443
K07A1.14,0,0,0,0
K07A1.15,649,600,506,615
aqp-9,113,78,87,94
dut-1,12389,11859,11692,13226
K07A12.4,4315,4001,3409,4383
ptr-12,252,196,230,161
chaperone,16,10,6,14
K10C3.5,4084,3648,3194,3781
K11D2.5,365,383,388,403
M01B12.5,4337,3920,3380,4265
egl-30,11160,9783,10552,10168
pqn-52,14606,13755,12607,15046
top-1,29358,27090,20772,28396
M04C7.4,2,3,2,1
hlh-2,4459,4229,3748,4596
dhp-1,359,298,304,321
exo-3,3933,3990,3616,4345
R119.5,558,527,539,533
R11A5.4,186595,169090,181292,197128
inx-17,1032,807,786,749
daf-16,23852,21967,22610,24017
gcy-28,14294,12646,11421,12471
rskn-1,46104,44008,39726,48366
T02E1.8,37,34,35,45
T03F1.12,339,364,431,465
hsr-9,17662,16687,14825,17436
carboxypeptidase,5623,4925,5000,4820
T06G6.12,7,8,8,8
T06G6.3,92,62,82,71
ngp-1,15412,13196,11634,13964
asd-2,3920,3298,3105,3515
lst-1,7906,8078,8041,9026
rbg-2,10910,9777,8362,9861
T22C1.12,2,1,0,0
T23G11.10,6,1,0,4
T23G11.6,2706,2168,2163,2322
sqv-5,17207,16447,15440,18450
T26E3.10,3,4,2,2
T28B8.6,0,0,0,0
T28F2.4,1457,1246,1095,1381
mdt-28,37876,35758,35173,40374
uba-2,4978,4749,4506,5378
hmr-1,40285,37657,36958,41158
fnci-1,6449,6184,4903,6494
W03F11.5,33,28,30,30
afd-1,17701,17670,17959,19535
W03G9.8,245,301,262,319
W03G9.9,1,2,1,2
W04A4.6,105,91,70,125
haf-4,979,827,931,912
nhr-85,264,252,280,266
tag-229,471,501,498,550
W09G3.7,250,278,241,302
W09G3.8,598,643,620,722
W10C8.6,7,12,10,19
gei-17,39809,36288,33567,41706
Y105E8A.10,11096,10340,9865,11291
Y105E8A.24,6940,6442,6306,6662
zoo-1,4914,4234,4462,4670
Y105E8A.27,4,1,4,4
Y105E8A.28,22,19,21,17
Y105E8A.29,1559,1403,1362,1512
Y105E8A.32,2,3,0,1
eat-18,1835,1623,1844,1714
lev-11,65392,58502,60381,59148
Y105E8B.11,0,0,0,0
exoc-8,7447,7192,6542,7262
ero-1,6309,5765,5104,6246
Y106G6D.8,497,459,380,515
Y106G6G.6,83,38,47,34
pab-1,186204,180141,176296,188974
mat-1,9783,9535,9212,10451
Y110A7A.9,9540,8866,8202,9738
Y119C1B.11,2,0,0,1
fkb-2,5469,5948,5653,6320
Y18D10A.22,16,7,15,11
clec-105,0,0,2,0
fkb-8,338,352,290,381
Y18D10A.26,0,1,0,2
nhx-8,1268,1306,1339,1320
ptr-17,86,75,68,58
Y18H1A.14,11,10,12,10
Y18H1A.15,4,3,1,4
Y20F4.8,19,19,14,18
Y23H5A.8,3,12,5,10
Y26D4A.12,0,0,0,0
Y26D4A.13,0,0,0,0
Y26D4A.14,0,1,0,0
spp-23,352,397,444,377
Y34D9A.3,1995,2039,1919,2028
mig-1,1367,1280,1424,1557
Y37E3.17,13684,12558,12570,14100
Y37F4.5,2,1,3,2
Y37F4.6,287,252,246,259
Y37F4.7,25,18,17,19
Y37F4.8,16,14,14,12
Y37H9A.1,978,833,886,1042
ugt-31,118,109,103,93
Y40B1A.5,229,235,201,273
Y47G6A.15,23,9,25,10
Y47G6A.21,502,487,500,521
Y47G6A.22,903,924,920,952
Y47G6A.30,2,5,1,1
Y47G6A.31,142,138,140,131
Y47G6A.32,58,47,46,37
Y47G6A.7,1866,1600,1626,1836
ced-1,14806,13889,13890,15111
Y48G10A.6,30,23,14,21
Y48G1BL.7,16,10,13,11
Y48G1C.12,715,682,662,834
csk-1,4017,3727,3407,3768
Y48G8AL.15,123,134,135,175
Y51F10.11,483,439,384,397
Y52B11A.2,1138,1060,963,1230
Y52B11A.3,3588,3486,3140,3536
ins-36,10,3,5,3
nfya-2,888,964,899,1001
aat-9,4007,3859,4157,4321
fog-1,1342,1192,1032,1314
vbh-1,29976,29819,31186,33532
ceh-9,6,2,2,5
agef-1,11400,11032,10206,11941
Y6B3B.12,870,852,827,1024
Y6B3B.5,1136,1028,836,959
Y71A12B.15,41,38,42,48
cogc-3,4477,4337,4348,4932
bam-2,1351,1103,1164,1227
sop-3,12149,11964,11396,12703
lin-17,1892,1570,1810,1782
Y71G12B.11,15725,14572,14005,15049
mab-20,3926,3732,3895,4088
Y71G12B.23,617,589,609,582
Y71G12B.30,10,12,14,6
Y71G12B.31,20,24,20,39
Y71G12B.32,15,11,12,14
Y71G12B.33,0,1,1,0
adpr-1,1401,1288,1187,1354
abtm-1,1245,1099,1082,1134
grd-15,11,10,10,13
Y87G2A.16,31,20,22,22
Y87G2A.17,257,217,231,255
Y87G2A.18,426,423,396,467
Y87G2A.19,185,166,156,137
Y87G2A.20,8,4,4,6
gpi-1,16033,15047,15792,17947
ZC123.4,710,659,698,612
gld-2,25478,24114,23313,27802
ins-29,5,4,7,6
ins-27,5,11,10,17
ZC334.7,22,14,10,9
ins-25,0,3,0,1
ins-28,7,7,8,12
vab-10,171573,148841,150174,160187
pmr-1,8506,8488,7757,8463
kri-1,294,238,274,282
ZK265.9,1659,1621,1667,1857
frm-1,36981,35090,33260,36145
ZK337.1,21783,19269,19735,21429
ZK39.9,0,0,0,0
unc-13,4771,3434,3695,3778
lrs-2,4978,4379,3806,4903
ZK849.2,173,97,119,101
ZK849.6,0,0,0,0
ZK858.8,4,6,3,5
ZK909.6,88,66,84,109
B0034.7,12,10,9,19
tag-308,19056,16218,14339,15904
trx-1,121,107,150,106
B0252.3,1708,1462,1459,1504
cyn-10,1693,1614,1462,1937
try-9,34,25,28,30
hlh-1,1308,1307,1365,1242
B0334.13,12,6,11,15
twk-5,426,334,354,368
lat-1,30015,27345,25441,29829
B0457.6,118,105,110,119
clh-2,254,160,207,162
nspb-8,0,0,0,1
nspb-9,0,1,2,0
C01G12.13,1,0,0,1
C01G12.9,1,2,2,1
cam-1,22887,20904,19314,21849
tbc-6,394,362,270,387
egl-27,25940,25277,21791,26808
mpk-2,721,474,667,519
C04H4.1,1,0,0,3
nlp-41,6,6,8,19
C05C10.5,15222,15441,15777,16822
C05D12.7,16,8,14,13
C06A1.7,0,0,1,0
C06A8.8,290,202,181,203
mel-11,32001,30975,28276,32722
actin,10592,10006,9220,10778
C08B11.9,5542,5237,4822,5647
C08E3.14,0,1,0,0
C08E3.15,0,0,0,0
C08F1.11,162,138,110,159
C08H9.15,199,218,216,236
glucosyltransferase,1334,1357,1380,1577
ptp-3,22783,20781,19968,22188
C14A4.12,564,486,497,506
C14A4.7,157,106,102,114
tra-2,7347,6885,6537,7741
sod-1,8604,8682,8903,10120
C16A11.2,4124,3745,3352,3944
C16C4.17,11,9,12,11
ins-13,588,490,414,507
ins-12,5,5,6,12
ins-38,0,1,0,0
srz-67,0,1,1,3
C17F4.11,1,2,4,1
C17F4.12,0,3,0,2
cdc-14,38919,36772,33354,39451
C17G10.6,14,14,18,27
dhs-6,3652,3426,3229,3439
rab-3,838,614,634,566
stg-1,7,15,9,13
pqn-14,16478,16432,14520,17789
sptl-1,12370,11503,10435,11685
C23H3.9,3088,2471,2668,2764
C25H3.10,577,428,444,492
C25H3.15,17,10,10,9
C25H3.16,93,96,56,75
hel-1,28190,26920,26452,28863
eff-1,668,515,588,613
C26D10.6,413,359,336,336
C26D10.7,9,4,4,4
C27A2.7,2,4,5,3
C27A2.8,49,41,29,33
C27D6.11,2,3,0,0
C27H5.4,390,363,351,397
rgs-3,194,152,187,114
C31C9.7,36,26,26,37
fbxc-17,13,7,7,10
Thioredoxin,5144,4742,4572,5251
shn-1,3704,3156,3407,3530
C33B4.4,126,113,114,138
C33B4.5,2,0,1,2
C33F10.14,873,798,736,892
rig-6,6619,5258,4998,5784
lact-5,757,732,687,776
sphk-1,1805,1618,1570,1636
prx-5,1108,880,948,959
sfxn-5,393,311,319,317
C41C4.9,1,0,0,0
C41H7.9,4,4,3,2
C44B7.6,223,208,182,182
ras-1,579,513,575,603
trr-1,46277,43489,40920,49786
trs-1,19187,19181,17980,20242
C50D2.10,27,26,37,33
mpz-1,6912,5504,5748,5360
unc-104,2646,2059,1994,2054
C56E6.3,9863,9134,8038,9619
C56E6.7,3099,2904,2454,2952
aka-1,30275,28661,25060,29722
D1022.9,2,1,13,2
D1069.3,2292,2294,2038,2329
scp-1,4735,4364,3797,4762
lgc-28,129,121,136,145
D2085.5,10424,9326,8812,9598
pme-2,4106,3646,3231,3854
E02H1.8,425,360,375,468
E04D5.5,89,107,86,106
clh-3,2093,2008,1941,2126
acdh-12,14344,13343,13051,14049
F01D5.7,0,4,2,4
din-1,30286,28842,26295,30830
F10B5.9,5,4,8,9
F10C1.9,327,307,271,310
F11G11.14,0,0,0,0
alh-8,72306,70789,75229,79438
F13H8.1,109,88,70,101
F14D2.14,75,72,63,77
F14D2.15,172,153,144,179
bath-29,887,849,741,933
F14E5.2,23321,21073,19898,22528
F14F11.1,1966,1653,1856,1699
flp-16,144,124,137,131
lin-26,5472,5008,4913,5555
lir-1,23286,20927,18563,22405
lir-2,2176,2019,1765,2014
F19H8.5,50,43,48,41
nhr-21,3035,2311,2594,2682
F21H12.7,2,7,8,6
F22D3.2,12660,11769,11578,12917
F22E5.20,34,38,38,38
F22E5.21,6,4,7,6
F23F1.10,136,145,107,249
rpt-4,19321,18439,16680,19431
F26C11.4,0,1,1,0
nurf-1,48462,46409,46006,51184
F27E5.8,0,2,1,1
F28C6.4,2047,1771,1760,2090
pqn-32,2143,1575,1864,1944
snt-1,797,566,459,460
F32A11.7,104,97,100,119
ada-2,6899,6342,5289,6677
F33A8.10,13,17,21,18
F33G12.6,1990,1644,1636,1750
daf-19,3144,2992,2856,3252
F33H1.6,0,1,4,1
F34D6.7,0,1,0,0
F34D6.8,0,0,0,0
F34D6.9,0,0,0,0
syd-1,1265,873,932,993
F39E9.14,1,1,0,1
F40H7.12,2,4,2,4
agr-1,1487,1285,1242,1335
ins-14,2,4,2,5
ins-15,0,0,1,1
F41G3.18,94,98,74,87
F41G3.19,2,1,2,0
F41G3.20,2,1,1,5
F41G3.21,82,41,63,55
F42G2.7,0,0,3,1
F42G4.7,5,15,10,14
sra-10,42,22,18,30
tag-169,3923,3767,3502,3814
unc-53,8671,7071,7709,7891
F45E10.2,854,745,768,880
lin-42,1484,1555,1610,1534
F47F6.9,0,0,0,0
ubxn-3,15351,16253,15425,17626
F49C5.10,1,2,8,2
F49C5.11,0,1,0,0
F49C5.9,1,3,1,1
F49E12.12,32,26,31,30
sra-13,3,2,0,0
lec-2,14671,12741,14003,15075
F53A10.2,2424,2334,2542,2593
bcs-1,4152,3774,3383,3962
F54D12.10,2,2,0,1
F54D12.11,0,1,1,0
F54D12.9,3,5,1,1
F54D5.15,768,562,578,653
F54D5.5,7803,7483,6589,7715
mua-1,784,627,650,646
F56D1.2,3821,3655,3678,4087
F56D1.3,1231,1239,1320,1456
clr-1,36122,33541,31454,35289
alh-6,7510,7076,7910,7885
F57G9.7,0,0,1,0
nhx-6,2,4,9,6
F59A6.10,11,10,10,4
F59B10.4,90,60,70,83
H20J04.9,322,308,258,284
H32K21.1,5,8,3,11
cbn-1,1997,1396,1345,1467
K01A2.3,25,20,15,15
K01A2.4,661,622,624,683
K04B12.2,2543,2354,2201,2503
K05F1.6,878,682,759,768
nhr-88,671,628,707,672
K08F8.1,42971,39212,39647,45124
K08F8.7,49,32,48,39
cpg-7,85,75,96,101
K09F6.11,21,31,17,28
cwn-1,1672,1647,1461,1548
K10G6.5,2,0,2,1
K10H10.10,11,7,8,8
dhs-8,70,76,82,82
K12D12.4,19,15,14,11
M05D6.8,5,0,3,5
M05D6.9,14,9,11,10
M106.4,11088,10972,10219,11560
ifg-1,73422,69331,67231,79766
M110.8,1,3,2,1
M110.9,6,3,8,3
fbxb-33,33,35,31,45
cog-1,149,165,139,168
R05F9.1,10137,9560,9236,11123
gst-9,52,38,24,32
R05G9.2,536,483,497,390
R05H10.3,3235,3006,3052,3343
R05H10.7,1,1,1,0
acr-20,289,236,283,281
mig-14,2404,2400,2378,2633
R06F6.12,1975,1833,1671,1955
oig-4,179,155,202,218
srab-14,33,19,30,8
nas-23,12,6,8,6
R11F4.2,20,26,26,34
R12C12.10,28,33,24,27
R53.1,3733,3339,3252,3851
egl-43,1770,1433,1553,1520
T01B7.5,5576,5123,4364,5420
T01B7.9,41,44,41,44
etr-1,26320,25355,25485,28981
T01D1.7,8,1,2,3
T01E8.8,174,153,152,145
ubxn-5,2,0,0,1
mmaa-1,6890,5939,5141,6216
krs-1,33257,32422,32771,36735
T04B8.5,8718,8220,8636,8942
cki-2,2494,2462,2520,2702
fut-5,0,0,0,0
T05A7.11,571,439,411,446
T05A8.8,7,5,7,5
T05C1.4,3471,3055,3026,3071
T05C12.11,19,9,13,15
mig-5,13262,13304,12705,14078
ufd-2,35563,33452,30578,35977
T05H10.7,8344,8093,7344,8470
T07D4.2,485,366,382,363
T07H3.7,0,0,0,0
ast-1,481,396,376,405
cex-2,219,176,185,187
T09A5.14,3,1,0,0
T09A5.15,171,178,200,259
klp-3,1151,847,924,964
T09F3.5,1258,1223,1123,1302
ins-19,129,135,120,244
nhr-109,415,303,300,357
T13C2.3,853,714,738,752
T13C2.7,37,24,28,24
T13H5.1,3567,2891,3097,3058
enol-1,66705,63039,65855,70194
T21B4.15,13,19,10,10
T21B4.17,175,221,161,196
T23B7.2,0,2,0,0
T23F4.5,0,0,0,0
T23G7.2,5843,5415,4967,5781
T24B8.3,18948,16197,13038,17131
T24E12.12,1,0,0,0
T24F1.3,2689,2337,2267,2527
tag-180,572,426,456,448
T24F1.7,13,13,13,14
jun-1,2208,1919,1950,2044
T26C5.3,13896,12405,11844,12964
T26C5.5,48,48,30,37
clh-1,3716,3326,3412,3806
T27F7.3,10515,9972,8759,10651
T28D9.3,4823,4622,4505,5471
nhr-61,1120,1091,1121,1107
W01D2.6,2,0,1,3
W02B12.12,4,8,8,6
W02B12.15,2487,2613,2310,2750
rga-1,4699,4599,4364,4871
W02B8.6,7,6,6,10
sre-34,0,0,0,0
W07A12.8,42,25,17,37
W07G1.5,90,52,82,76
pod-2,39844,38158,40050,45239
W09H1.1,68,56,75,79
lec-1,16763,15610,16460,17373
W10C6.2,5,4,3,4
Y110A2AL.12,576,459,604,598
Y110A2AM.4,35,26,37,34
Y14H12A.2,10,2,11,5
cnt-1,3495,3320,3221,3787
Y17G7B.23,4,3,5,5
Y17G7B.24,1,3,3,0
mcm-2,32011,32326,32009,35682
Y19D2B.2,25,23,19,32
Y25C1A.7,4712,4586,5052,5507
sri-40,628,674,721,701
Y27F2A.8,25,19,27,24
Y27F2A.9,1,0,0,0
Y38E10A.25,0,0,0,0
Y38E10A.26,5,8,9,15
Y38E10A.28,64,70,59,67
Y38E10A.6,12432,12075,10604,12587
Y39G8B.10,1,4,3,1
Y39G8B.9,23,12,23,6
col-87,3,3,4,2
tbc-17,5613,5403,5107,5836
lgc-35,39,20,23,20
Y46G5A.34,34,31,39,48
Y46G5A.35,283,300,254,319
Y46G5A.39,11,5,11,10
Y48C3A.5,3440,3250,3105,3260
Y48E1A.1,2967,2963,2898,3070
csp-1,56,31,32,35
fbxc-23,12,12,22,18
clec-145,142,127,131,120
Y49F6B.12,2,2,3,3
Y49F6B.13,1,1,1,0
Y49F6B.14,0,0,0,0
Y51H7C.15,0,0,0,0
Y53C12A.7,3,2,2,4
Y53C12A.8,2,5,0,0
mab-3,17,15,20,16
Y53C12B.7,33,13,16,24
Y53F4B.27,492,308,409,298
eif-3.B,17118,16951,16608,18436
srh-42,0,0,0,0
ctl-2,2395,2243,2433,2635
ddl-3,1511,1444,1389,1635
sre-46,9,1,6,5
ife-5,225,246,259,265
aqp-12,27,18,16,19
Y57A10C.11,55,56,43,47
srz-63,3,2,2,3
Y57G7A.3,4,3,2,4
Y62F5A.10,25,35,21,24
unc-52,48195,42183,47710,43719
hhat-1,720,546,630,588
srg-20,1,0,2,0
ZC239.20,32,26,31,42
ZC239.21,32,33,21,41
ZK1248.19,213,240,193,263
ZK1248.20,0,0,0,0
ehs-1,7179,6626,6320,7400
ZK1290.14,155,145,149,168
tph-1,73,57,45,48
nfi-1,8156,7638,7475,8089
rnh-1.1,0,1,1,0
ZK1307.1,2420,2264,1998,2354
taf-8,5223,4889,4332,5115
ZK1320.13,30,32,23,60
ZK1321.2,1063,832,897,1005
ZK177.11,0,0,0,0
math-47,158,122,143,152
ZK355.7,0,3,2,1
zyg-12,24649,23710,20975,24592
cblc-1,1180,985,1122,1223
ZK546.2,8533,7900,7589,8688
ZK666.11,1,1,0,1
ZK666.12,0,0,3,1
ZK669.7,41,53,53,61
ins-20,0,0,0,0
lec-3,5112,4007,4774,4242
ZK930.3,848,748,656,842
ZK945.6,2,0,0,0
ZK970.1,474,386,369,422
ZK970.8,0,0,0,0
F17C8.7,7,2,15,8
pef-1,325,278,240,234
F23H11.9,2873,2847,2979,3264
F25B5.6,10645,10360,9821,11018
F25F2.1,40,14,22,48
rrt-1,13917,12466,11806,14105
F30H5.5,2,0,2,0
ceh-20,1812,1630,1498,1823
F31E3.2,318,206,211,227
F34D10.8,10,13,14,15
mlcd-1,4407,3828,3423,4215
sel-5,8436,8125,7387,8559
rbf-1,825,686,826,743
F37C12.18,2,4,3,6
cyld-1,8675,8164,7473,8469
nfm-1,2631,2223,1877,2312
efk-1,8663,7872,7207,8098
F42A10.9,4769,4335,3953,4501
F42G9.6,10904,10024,9951,10957
ptl-1,1451,1010,1111,1145
F42H10.7,4431,4212,4136,4568
mpk-1,7848,7571,7506,8737
F43C1.6,508,486,437,512
F43C1.7,6,4,3,3
F44E2.7,12298,10798,8939,11347
F45G2.2,993,724,770,634
gar-2,715,492,535,549
hmg-1.2,15635,13737,12996,14597
mtm-6,8091,7565,6789,7778
F54C8.7,2295,2186,1991,2363
F54D8.6,3359,3117,2558,3280
par-3,35092,33935,31031,36074
zfp-1,12884,12141,12116,13623
unc-64,1891,1755,1551,1671
gsp-2,11818,11401,11044,12401
ndg-4,2315,2278,2300,2502
rpn-6,13924,13417,12515,14415
inf-1,37245,36847,37271,40392
F58A4.14,69,65,42,59
hlh-11,2761,2415,2812,2802
par-2,2665,2700,2990,3147
H04D03.4,187,165,173,164
gip-1,9387,8660,8657,10118
H06I04.3,16337,15014,11705,15278
ubl-1,23152,25469,24206,27281
H06I04.6,287,298,260,252
fipr-29,4,3,2,6
let-805,20737,18261,20234,19606
gly-6,5096,4294,4622,4602
K01B6.4,1,3,2,2
K01F9.2,71,47,43,47
hpl-2,5950,6195,5463,6612
K02F3.12,5396,5211,4658,5367
K04C2.7,10,11,14,15
K04C2.8,9,7,9,11
emb-9,45010,41027,42070,42873
K04H4.2,9092,7398,9196,8518
flp-25,59,30,43,46
dig-1,8226,6275,6967,7590
K08E3.10,294,341,348,389
K08E3.5,83508,82274,83334,92533
nac-3,948,750,850,890
mua-3,8609,7703,7300,7800
