feature	249_1813_B	291_37_C	294_1781_A	299_1781_A	310_37_C	318_1813_B
WBGene00000146	5695	4469	5106	5136	4599	5053
WBGene00000147	783	975	779	832	812	877
WBGene00000148	2002	2193	1860	1824	1855	1831
WBGene00000149	2897	2172	2187	2554	2589	2576
WBGene00000150	576	1025	504	654	660	486
WBGene00000151	2021	2860	2045	2241	2153	2602
WBGene00000155	5410	6376	5381	5295	5407	5941
WBGene00000156	4625	3705	4382	4306	3747	4139
WBGene00000157	345	514	310	309	330	337
WBGene00000158	3177	2964	2973	2957	2851	3056
WBGene00000159	1200	2043	1141	1260	1243	1325
WBGene00000160	3984	1909	3483	3526	3168	2832
WBGene00000161	1391	993	1156	1133	1101	1240
WBGene00000162	2903	1334	2703	2677	2450	2144
WBGene00000163	3356	3187	3298	3264	3231	3282
WBGene00000164	430	453	292	313	349	426
WBGene00000165	1840	2286	1976	1823	1933	2668
WBGene00000166	3	1	5	12	4	9
WBGene00000168	3494	1778	3244	3191	2608	2939
WBGene00000169	340	936	564	571	608	1053
WBGene00000170	2135	555	480	636	675	635
WBGene00000171	5	20	6	6	14	18
WBGene00000172	216	694	276	324	561	208
WBGene00000173	0	0	0	0	0	1
WBGene00000174	6	12	5	9	8	8
WBGene00000175	519	1006	803	1173	973	3383
WBGene00000176	212	265	213	223	315	886
WBGene00000177	52	134	60	62	99	108
WBGene00000178	796	1610	958	1138	1097	918
WBGene00000179	545	1022	526	577	786	1674
WBGene00000180	182	340	202	204	234	270
WBGene00000181	3136	5501	3405	3833	4095	4295
WBGene00000182	9211	10897	8684	9231	9946	9316
WBGene00000183	7406	8425	6742	7212	7554	7447
WBGene00000184	1234	1096	1249	1266	1196	1214
WBGene00000185	0	0	0	0	1	0
WBGene00000186	2096	845	1775	1680	1669	1660
WBGene00000187	1172	1891	1165	1135	1224	1384
WBGene00000188	13	21	8	26	14	21
WBGene00000189	478	778	448	468	513	580
WBGene00000190	166	79	57	66	41	183
WBGene00000191	71	109	55	45	47	30
WBGene00000192	4199	4926	4024	3909	4144	4655
WBGene00000193	9	5	2	2	0	3
WBGene00000195	461	490	354	409	367	417
WBGene00000196	1136	1414	1229	1150	1184	1335
WBGene00000197	10663	7182	10613	9723	9487	9492
WBGene00000198	3968	7176	4762	4921	5588	4782
WBGene00000199	3180	3004	2834	2950	2986	2882
WBGene00000200	3672	3888	3457	3508	3416	3603
WBGene00000201	3057	2508	2799	2976	2943	4456
WBGene00000202	1293	1657	1485	1341	1332	1313
WBGene00000203	1259	1671	1196	1250	1255	2372
WBGene00000204	1622	1837	1396	1463	1528	1366
WBGene00000205	944	1288	864	1039	961	1037
WBGene00000206	8123	9947	7975	8342	8374	10319
WBGene00000207	3567	5308	3856	4457	4769	4562
WBGene00000208	1417	1570	1379	1414	1429	1142
WBGene00000209	2990	4918	3151	3268	3359	4073
WBGene00000210	986	2274	1045	1336	1549	1590
WBGene00000211	79	160	94	84	110	149
WBGene00000212	391	648	336	358	507	234
WBGene00000213	214	157	183	88	98	29
WBGene00000214	47593	121780	64449	72243	122982	40941
WBGene00000215	10042	31447	12540	14796	24329	10234
WBGene00000216	21432	73544	22684	28485	55604	20292
WBGene00000217	7733	12771	6876	6495	8043	5457
WBGene00000218	9677	33755	11244	13207	24443	8398
WBGene00000219	23412	61134	29244	33043	61474	20039
WBGene00000220	193	29	16	28	36	19
WBGene00000221	549	1421	607	888	1034	839
WBGene00000222	410	282	282	301	275	324
WBGene00000223	5521	4702	4977	5100	4943	5454
WBGene00000224	500	687	323	455	436	425
WBGene00000225	332	207	325	358	310	422
WBGene00000226	4783	3616	4981	4188	4000	4540
WBGene00000227	2002	853	1813	1904	1638	1901
WBGene00000228	1787	2375	1427	1880	1588	2763
WBGene00000229	50790	44861	50923	50898	52498	52352
WBGene00000230	8263	11076	8566	9630	9497	10906
WBGene00000231	9974	3927	9484	8408	7804	7246
WBGene00000232	28	29	25	35	41	61
WBGene00000233	60	94	54	81	68	169
WBGene00000235	2512	4294	2488	2681	2891	2853
WBGene00000236	1379	2166	1375	1396	1400	1726
WBGene00000237	426	318	357	311	327	306
WBGene00000238	207	156	170	149	201	230
WBGene00000239	426	842	414	449	714	479
WBGene00000240	349	1308	772	724	1014	1332
WBGene00000241	7	1	4	1	4	5
WBGene00000242	19	6	1	1	3	2
WBGene00000244	6	11	4	12	15	10
WBGene00000245	211	495	303	315	376	663
WBGene00000246	17	20	25	28	21	54
WBGene00000247	1007	1270	893	999	949	926
WBGene00000248	1017	746	852	910	887	1115
WBGene00000249	1114	1627	1037	1096	1131	1178
WBGene00000250	1370	853	1169	1243	996	1204
WBGene00000251	6	0	12	4	33	20
WBGene00000252	2	8	4	3	28	1
WBGene00000253	454	409	357	377	385	532
WBGene00000254	5333	4755	5055	5079	5053	5790
WBGene00000255	5	5	6	3	6	17
WBGene00000256	35	43	60	97	157	433
WBGene00000257	3951	3043	3765	3547	3557	3337
WBGene00000259	1409	1373	1357	1273	1213	1228
WBGene00000262	136	185	114	94	135	107
WBGene00000263	3782	6007	3686	4231	4335	5250
WBGene00000264	1792	1341	1643	1668	1625	1584
WBGene00000265	1816	1450	1736	1635	1546	1623
WBGene00000266	299	617	330	375	437	450
WBGene00000267	80	138	70	83	90	167
WBGene00000268	2409	2161	2163	2189	2241	2501
WBGene00000269	502	646	441	434	578	716
WBGene00000270	577	631	530	580	530	696
WBGene00000271	2686	2563	2472	2609	2537	2532
WBGene00000272	38	6	1	5	5	2
WBGene00000273	3732	3589	3090	3430	3708	8568
WBGene00000274	2836	1788	2828	2704	2502	2748
WBGene00000275	7783	6166	7307	7002	6849	8018
WBGene00000276	2837	3363	2813	2990	2975	2906
WBGene00000277	939	1574	837	1008	1190	1244
WBGene00000279	29	53	42	45	45	70
WBGene00000280	12	14	7	8	5	20
WBGene00000281	602	1231	839	841	1012	759
WBGene00000282	385	1359	847	782	1195	1725
WBGene00000283	408	727	537	500	601	456
WBGene00000284	18	12	13	24	8	12
WBGene00000285	47	124	33	54	48	78
WBGene00000286	58	171	49	89	72	103
WBGene00000287	4	4	3	1	2	18
WBGene00000288	15	25	7	20	12	41
WBGene00000289	2213	1805	1745	1865	1750	1861
WBGene00000292	2977	3109	2732	2854	2702	2588
WBGene00000293	3364	4027	3054	3287	3302	3563
WBGene00000294	1687	1680	1384	1662	1595	1885
WBGene00000295	13	14	3	13	9	16
WBGene00000296	5	5	2	1	5	6
WBGene00000298	741	1204	611	696	1002	592
WBGene00000301	2599	1051	931	1065	1291	416
WBGene00000302	27	36	28	25	31	30
WBGene00000308	0	3	0	0	0	0
WBGene00000310	0	0	0	0	0	0
WBGene00000311	0	0	0	0	0	0
WBGene00000366	7081	2663	6683	5714	5636	6013
WBGene00000367	117	132	118	127	124	163
WBGene00000368	129	311	71	116	237	172
WBGene00000369	3967	2458	3823	3945	4007	4794
WBGene00000370	304	432	245	340	328	527
WBGene00000371	4083	6544	3982	4178	4527	5241
WBGene00000372	3	10	3	5	8	23
WBGene00000373	265	137	155	82	127	65
WBGene00000374	251	410	248	268	343	364
WBGene00000375	1330	1605	1218	1191	1210	1400
WBGene00000376	10067	8155	9902	9514	8900	10368
WBGene00000377	13948	13071	13878	13376	13546	11803
WBGene00000378	13069	8748	12691	12392	12128	10724
WBGene00000379	12344	10945	11568	11140	11399	11548
WBGene00000380	17030	17134	16663	16808	16117	18233
WBGene00000381	12002	10911	11541	11235	11037	12089
WBGene00000382	2904	3115	2693	2673	2647	2856
WBGene00000383	4354	3278	3893	4002	3715	4031
WBGene00000386	7072	5702	6494	6878	6490	7797
WBGene00000387	1482	695	1054	1096	1187	991
WBGene00000388	879	969	754	820	890	1146
WBGene00000389	0	4	4	4	2	15
WBGene00000390	5995	6172	4994	5368	5305	5628
WBGene00000391	103	205	134	135	157	94
WBGene00000392	807	1419	824	915	937	978
WBGene00000393	712	887	590	668	632	602
WBGene00000395	367	174	239	188	276	210
WBGene00000396	2009	843	1404	1394	1339	1282
WBGene00000397	158	26	41	37	59	43
WBGene00000399	3	1	3	1	1	1
WBGene00000401	58	20	20	18	36	18
WBGene00000402	12	3	4	9	11	11
WBGene00000403	645	479	490	593	587	762
WBGene00000405	6098	6963	5380	5505	5562	6655
WBGene00000406	242	263	178	225	181	257
WBGene00000407	911	872	811	892	918	1862
WBGene00000408	1837	2454	1787	1801	1760	2384
WBGene00000409	1726	1763	1657	1577	1655	1751
WBGene00000410	1384	820	1145	1218	1183	1186
WBGene00000411	7105	4869	6023	6289	6353	6246
WBGene00000412	17	38	34	23	26	10
WBGene00000413	1913	1423	1643	1698	1567	1767
WBGene00000414	893	938	562	710	675	625
WBGene00000415	2520	1767	2343	2313	2199	2669
WBGene00000416	2192	2050	2257	2270	2285	2585
WBGene00000417	5735	3236	5535	5306	5126	5058
WBGene00000418	1320	1339	1209	1213	1151	1214
WBGene00000419	3919	2707	4059	3646	3509	4084
WBGene00000420	1648	1556	1387	1612	1497	1762
WBGene00000421	6410	4312	6219	5912	5373	5822
WBGene00000422	137	115	106	108	77	102
WBGene00000423	2433	2497	2289	2406	2413	2419
WBGene00000424	1384	1575	1345	1345	1423	1352
WBGene00000425	162	41	65	51	99	71
WBGene00000426	2410	2668	2299	2333	2257	2566
WBGene00000427	1	0	0	0	0	1
WBGene00000428	0	8	13	8	6	14
WBGene00000429	11	2	4	7	4	5
WBGene00000430	13	6	2	6	12	0
WBGene00000431	52	25	12	21	25	8
WBGene00000432	0	2	0	0	0	0
WBGene00000433	11	2	1	4	0	0
WBGene00000434	0	2	0	2	2	2
WBGene00000435	22	16	8	10	9	12
WBGene00000436	0	0	1	0	0	1
WBGene00000437	146	97	61	71	107	124
WBGene00000438	21	26	35	38	35	79
WBGene00000439	17	11	4	12	13	9
WBGene00000440	4	1	0	1	1	1
WBGene00000441	84	143	121	139	164	256
WBGene00000442	13	32	17	16	21	17
WBGene00000443	386	258	165	180	254	221
WBGene00000444	432	207	392	396	335	372
WBGene00000445	25	4	1	4	3	4
WBGene00000446	0	0	1	4	3	2
WBGene00000447	11	11	4	5	11	8
WBGene00000448	131	25	14	35	42	15
WBGene00000449	97	16	20	27	25	2
WBGene00000450	0	0	0	0	0	0
WBGene00000451	35	22	12	18	10	8
WBGene00000452	17	5	3	4	6	6
WBGene00000453	235	82	75	75	88	40
WBGene00000454	1	1	0	4	1	1
WBGene00000455	54	22	7	9	19	11
WBGene00000457	56	14	9	9	20	1
WBGene00000458	116	122	57	109	97	109
WBGene00000459	3536	3093	3238	3332	3045	3343
WBGene00000460	757	328	636	571	543	606
WBGene00000461	111	77	78	99	77	79
WBGene00000462	201	191	161	162	174	224
WBGene00000463	218	119	79	110	93	67
WBGene00000464	3109	2875	2875	2872	2667	3272
WBGene00000465	55583	13334	47363	42405	33914	37687
WBGene00000466	2013	2267	1908	1955	2020	2154
WBGene00000467	1962	2298	1937	1790	1933	2258
WBGene00000468	20	5	1	2	8	5
WBGene00000469	215	91	48	43	84	35
WBGene00000472	12590	11901	10161	11476	10714	11849
WBGene00000473	60383	59782	56293	55281	55633	55560
WBGene00000474	23852	31249	23284	21973	22997	26476
WBGene00000475	16526	13885	16687	17545	17807	14872
WBGene00000476	47	12	9	9	5	12
WBGene00000477	16	19	17	21	19	51
WBGene00000478	191	32	29	42	57	10
WBGene00000479	75167	39652	75728	68327	69773	56314
WBGene00000480	4511	2973	4375	4412	4100	4671
WBGene00000481	22	33	14	25	20	37
WBGene00000482	1359	707	907	934	965	942
WBGene00000483	0	0	0	0	0	0
WBGene00000484	9	8	3	4	1	1
WBGene00000485	27	24	22	22	19	28
WBGene00000487	1	2	0	0	6	2
WBGene00000488	4	5	1	3	2	10
WBGene00000490	17	7	3	6	5	6
WBGene00000491	10	4	9	9	6	24
WBGene00000492	13	12	1	9	3	6
WBGene00000493	33	27	23	16	22	31
WBGene00000496	16603	11468	14784	13848	12855	16018
WBGene00000497	289	61	268	188	100	177
WBGene00000498	2720	2225	2703	2814	2605	2927
WBGene00000499	739	366	834	649	658	701
WBGene00000500	2059	3102	1954	2106	2116	2490
WBGene00000501	3	13	7	17	7	29
WBGene00000502	2221	2802	2261	2172	2385	2201
WBGene00000503	1334	377	431	506	667	121
WBGene00000506	653	730	642	652	613	664
WBGene00000507	1580	1415	1464	1560	1413	1598
WBGene00000508	1186	699	1092	978	1019	945
WBGene00000509	1571	1972	1440	1578	1430	1660
WBGene00000510	23	57	19	43	31	62
WBGene00000511	62	117	69	68	102	69
WBGene00000512	455	554	349	512	509	459
WBGene00000513	2	1	0	0	2	1
WBGene00000514	177	256	174	232	292	234
WBGene00000515	333	679	399	407	555	378
WBGene00000516	236	95	90	97	138	82
WBGene00000517	1683	1340	1676	1698	1585	1621
WBGene00000518	38	64	52	50	43	58
WBGene00000519	2401	1990	2127	2280	2034	2173
WBGene00000520	2250	2270	2096	2177	2057	2674
WBGene00000521	19	2	4	2	1	0
WBGene00000522	550	690	349	304	570	302
WBGene00000523	63	38	28	27	29	50
WBGene00000524	43	80	42	42	50	47
WBGene00000525	6	8	5	7	0	3
WBGene00000526	44	45	19	35	47	50
WBGene00000527	782	817	826	1191	993	1638
WBGene00000528	404	376	465	686	489	1399
WBGene00000529	16	31	13	42	23	23
WBGene00000530	787	535	708	691	601	825
WBGene00000531	6	11	15	19	18	48
WBGene00000532	3181	2356	3010	3010	2966	3015
WBGene00000533	1938	1639	1867	1696	1652	1774
WBGene00000534	2233	2918	1862	1969	2019	2246
WBGene00000535	1608	1896	718	905	1181	740
WBGene00000536	536	890	506	498	599	708
WBGene00000537	1873	1804	1808	1694	1656	1700
WBGene00000539	155	524	219	242	413	215
WBGene00000540	406	452	371	374	363	426
WBGene00000541	84	320	121	153	317	148
WBGene00000542	4014	3389	3858	4195	3778	3976
WBGene00000543	1689	1175	1511	1512	1391	1392
WBGene00000544	13	15	13	21	8	80
WBGene00000545	549	560	438	753	557	796
WBGene00000546	35	21	31	39	17	206
WBGene00000547	3363	1945	2997	2906	2298	3239
WBGene00000548	4746	2266	4158	4154	3845	4420
WBGene00000549	2750	1631	2509	2282	2375	2323
WBGene00000550	11748	9090	11623	10049	10717	9810
WBGene00000551	0	0	0	0	0	0
WBGene00000552	8819	7074	7354	8075	7637	8646
WBGene00000553	35	31	22	34	29	33
WBGene00000554	367	702	331	437	495	494
WBGene00000555	0	0	0	0	0	0
WBGene00000556	56	84	12	25	75	16
WBGene00000557	36	82	46	40	59	32
WBGene00000558	42	99	28	39	52	12
WBGene00000559	0	0	0	0	0	0
WBGene00000560	0	2	0	0	0	0
WBGene00000561	38	17	10	5	13	0
WBGene00000562	33	30	26	18	29	12
WBGene00000563	0	0	0	2	0	1
WBGene00000564	2347	1480	2259	2129	2117	2117
WBGene00000565	1556	927	1469	1403	1360	1372
WBGene00000566	2710	2028	2432	2488	2368	2333
WBGene00000567	6578	7038	6191	5960	6236	7139
WBGene00000583	23	39	10	24	16	43
WBGene00000584	39	32	17	22	31	44
WBGene00000585	2612	2627	2461	2430	2450	2784
WBGene00000591	881	399	594	605	599	542
WBGene00000592	1576	1272	1405	1486	1372	1314
WBGene00000593	1	2	2	0	0	5
WBGene00000594	11	4	8	16	10	13
WBGene00000596	1	23	62	152	73	38
WBGene00000597	5243	12682	7364	7900	10677	21163
WBGene00000598	0	1	0	0	0	0
WBGene00000599	132	149	118	176	146	199
WBGene00000601	6	57	85	142	93	158
WBGene00000602	9	77	74	112	84	101
WBGene00000603	25	29	21	19	95	21
WBGene00000606	0	4	9	2	46	2
WBGene00000608	10285	20497	14264	20192	20748	36411
WBGene00000609	14706	27499	20849	26752	28834	52151
WBGene00000610	3	0	0	5	0	0
WBGene00000611	27	286	101	150	221	134
WBGene00000612	0	0	0	0	0	1
WBGene00000613	0	0	0	0	0	0
WBGene00000614	0	0	0	0	0	0
WBGene00000615	41	59	51	40	178	80
WBGene00000616	23	49	298	481	212	1105
WBGene00000617	1	1	0	0	2	6
WBGene00000618	0	0	3	2	2	1
WBGene00000620	12	11	6	5	14	3
WBGene00000621	0	0	0	0	0	1
WBGene00000622	5	22	10	9	10	12
WBGene00000623	3	0	0	0	1	5
WBGene00000624	0	0	0	0	0	0
WBGene00000625	26	14	12	15	83	21
WBGene00000626	1	11	16	12	61	12
WBGene00000627	0	0	2	1	0	2
WBGene00000628	0	0	0	0	0	0
WBGene00000629	2	1	1	2	0	1
WBGene00000630	15	30	14	10	23	20
WBGene00000631	2	1	0	0	1	3
WBGene00000632	0	0	0	0	0	0
WBGene00000633	4	1	0	1	3	0
WBGene00000634	4	3	5	8	8	6
WBGene00000636	3	24	20	21	35	13
WBGene00000637	0	2	3	1	1	1
WBGene00000638	6	31	68	122	53	45
WBGene00000639	4	2	21	5	130	4
WBGene00000640	1	8	0	1	4	1
WBGene00000641	33	2	8	13	15	3
WBGene00000642	0	0	0	0	1	0
WBGene00000644	34	35	24	29	35	38
WBGene00000645	1	3	3	1	1	6
WBGene00000646	10	3	4	6	9	0
WBGene00000647	33	43	89	45	161	42
WBGene00000648	0	1	0	0	1	0
WBGene00000649	0	21	43	32	241	15
WBGene00000650	218	10	21	8	2	4
WBGene00000651	1	0	0	0	0	0
WBGene00000652	606	259	218	251	279	263
WBGene00000653	5	27	23	39	123	32
WBGene00000654	2	0	0	0	0	2
WBGene00000655	1	3	3	2	11	4
WBGene00000656	9098	13081	15866	20229	19794	36549
WBGene00000657	466	1093	2213	5300	2245	7037
WBGene00000658	2	5	4	1	1	3
WBGene00000659	2	2	5	6	1	3
WBGene00000660	1	0	1	0	2	0
WBGene00000661	7	11	4	4	4	3
WBGene00000662	2	6	0	1	3	3
WBGene00000663	2	10	12	31	34	9
WBGene00000664	6	7	5	8	3	5
WBGene00000665	6	5	4	11	7	5
WBGene00000666	1	11	9	17	17	13
WBGene00000667	258	326	546	1045	580	1036
WBGene00000668	9159	16487	15838	21763	20767	30692
WBGene00000669	414	783	670	1200	1003	1886
WBGene00000670	7129	5504	4951	2991	4899	8703
WBGene00000671	868	757	611	784	774	1103
WBGene00000672	22	28	23	25	127	34
WBGene00000673	2579	4921	4476	5947	5610	38722
WBGene00000674	218	50	64	87	84	61
WBGene00000675	12663	18298	14476	13885	17538	20555
WBGene00000676	0	0	0	0	0	1
WBGene00000677	2897	3451	4548	5884	5806	29386
WBGene00000678	27	22	26	22	75	27
WBGene00000679	4	1	0	0	1	0
WBGene00000680	6275	15584	9604	11788	13173	24593
WBGene00000681	50	19	21	31	83	31
WBGene00000682	0	0	1	0	0	1
WBGene00000683	15	6	8	3	80	3
WBGene00000684	10	24	20	8	40	5
WBGene00000685	36	50	49	35	59	72
WBGene00000687	33	42	25	12	24	16
WBGene00000688	0	0	0	0	0	0
WBGene00000689	2	0	1	0	1	4
WBGene00000690	50	56	29	43	51	54
WBGene00000691	1	0	6	4	6	10
WBGene00000692	262	814	377	522	590	562
WBGene00000693	24404	41186	27497	31832	39495	59049
WBGene00000694	7	18	9	23	38	13
WBGene00000695	208	35	7	20	51	0
WBGene00000696	13482	22902	20157	25825	26800	42026
WBGene00000697	4	0	1	2	2	3
WBGene00000698	7715	23880	18951	30871	26149	52980
WBGene00000699	27	63	52	163	163	59
WBGene00000700	0	0	1	0	0	0
WBGene00000701	0	1	0	0	0	0
WBGene00000702	2	0	0	0	0	0
WBGene00000703	669	1201	2730	6106	2685	9353
WBGene00000704	3	6	15	19	60	11
WBGene00000705	4	4	4	0	6	0
WBGene00000706	1	2	0	2	1	1
WBGene00000707	9	105	225	493	242	220
WBGene00000708	501	366	452	523	387	385
WBGene00000709	0	0	0	0	0	0
WBGene00000710	0	8	5	3	13	1
WBGene00000711	0	9	20	13	149	15
WBGene00000712	594	1167	2601	6411	2509	8984
WBGene00000713	17565	28122	22723	29501	32166	52432
WBGene00000714	33	68	51	65	43	98
WBGene00000715	2012	1505	2226	3986	2432	6658
WBGene00000716	11428	12190	11648	12670	16032	17363
WBGene00000717	202	229	179	225	248	288
WBGene00000718	1	10	12	23	26	5
WBGene00000719	1	26	58	96	53	24
WBGene00000720	5	179	373	828	389	967
WBGene00000721	0	0	1	0	0	0
WBGene00000722	7	19	179	210	148	405
WBGene00000723	5	17	9	35	23	46
WBGene00000724	0	0	1	1	0	0
WBGene00000725	0	1	0	1	3	2
WBGene00000726	19	316	90	148	161	146
WBGene00000727	6	13	18	25	38	12
WBGene00000728	739	1003	703	839	925	968
WBGene00000729	0	1	6	2	15	1
WBGene00000730	7	5	2	1	17	10
WBGene00000731	24	38	31	21	40	73
WBGene00000732	1050	1158	2193	3870	2326	3844
WBGene00000733	7703	10701	12675	16105	15386	24889
WBGene00000734	0	32	38	69	106	16
WBGene00000735	10	23	18	37	45	22
WBGene00000736	1	1	1	1	1	4
WBGene00000737	1	0	0	1	0	0
WBGene00000738	256	4	10	5	4	0
WBGene00000739	789	1149	845	957	1004	1103
WBGene00000740	14	12	40	82	59	42
WBGene00000741	4	7	14	28	21	20
WBGene00000742	4	2	4	11	7	38
WBGene00000743	1	2	5	3	5	2
WBGene00000744	0	0	0	0	0	0
WBGene00000745	9	5	1	7	5	2
WBGene00000746	0	13	6	3	12	13
WBGene00000747	17	4	1	1	2	0
WBGene00000748	0	12	20	5	51	5
WBGene00000749	22	23	22	18	20	23
WBGene00000750	3	0	1	1	0	8
WBGene00000751	11194	18154	14740	17851	19535	31411
WBGene00000752	1103	4633	3250	4024	4695	9064
WBGene00000753	14	20	25	50	45	47
WBGene00000754	10292	21166	15437	18858	19892	33039
WBGene00000755	2	1	1	2	6	6
WBGene00000756	0	0	0	0	0	0
WBGene00000757	6017	11946	8697	10547	11603	19085
WBGene00000758	0	0	0	0	0	0
WBGene00000759	6	8	0	4	12	10
WBGene00000760	2	0	10	5	7	15
WBGene00000761	733	1076	843	848	986	1098
WBGene00000762	701	1009	669	705	773	771
WBGene00000763	655	693	599	597	652	690
WBGene00000764	382	551	356	388	393	472
WBGene00000765	1838	2850	1806	1923	1887	2220
WBGene00000766	959	982	913	1004	929	901
WBGene00000767	2859	2526	2795	2743	2711	3090
WBGene00000768	179	199	118	184	90	349
WBGene00000770	2504	1277	2260	2201	2033	1968
WBGene00000771	0	6	8	22	6	102
WBGene00000772	6463	5354	6415	6122	6033	5906
WBGene00000773	2238	2542	2050	2246	2121	2207
