wormbase_gene,N2.2,Eat2.2,Nhr62.2,Nhr62Eat2.2,N2.3,Eat2.3,Nhr62.3,Nhr62Eat2.3,N2.1,Eat2.1,Nhr62.1,Nhr62Eat2.1
WBGene00044029,18,35,24,25,11,26,19,37,22,23,26,17
WBGene00195552,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197698,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015470,2253,1992,2214,2382,2136,1608,2900,2209,1967,1676,3058,1426
WBGene00022910,214,256,276,321,222,209,332,287,209,232,275,163
WBGene00195279,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196287,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197335,2,1,4,1,3,2,4,1,1,1,3,0
WBGene00197666,0,0,0,1,0,1,1,1,1,0,2,0
WBGene00198368,0,0,0,0,0,0,1,0,0,1,0,0
WBGene00200205,1,0,0,0,0,0,0,0,0,0,1,0
WBGene00015469,1433,1324,1550,1563,1117,998,1459,1445,1708,876,2162,793
WBGene00196246,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199484,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015472,584,1108,681,772,630,873,879,702,802,914,1034,537
WBGene00015473,2,2,2,1,1,1,0,0,1,3,0,2
WBGene00015474,180,165,175,179,152,111,247,199,157,106,259,115
WBGene00015476,355,767,357,674,235,602,397,584,349,1212,460,468
WBGene00195517,4,5,0,2,6,7,4,2,2,3,3,3
WBGene00196162,0,1,0,0,1,1,1,0,1,1,2,0
WBGene00197349,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00197377,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198384,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200447,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200780,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00201960,0,0,2,2,1,1,2,2,1,0,2,1
WBGene00202481,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015493,1,0,0,0,0,0,1,0,2,2,2,0
WBGene00015494,115,84,117,139,91,85,143,124,82,77,119,57
WBGene00015495,23,28,25,31,36,22,28,32,35,18,40,15
WBGene00015496,3,0,2,4,0,1,1,2,1,7,3,2
WBGene00195372,0,0,0,1,0,0,1,0,0,0,1,1
WBGene00015491,1,0,1,1,0,0,0,1,5,1,2,0
WBGene00206359,6,6,10,6,3,3,8,2,6,0,6,1
WBGene00015489,1,0,1,0,1,0,0,0,0,1,0,0
WBGene00007343,27,118,20,55,30,63,39,49,27,86,37,42
WBGene00007344,21,158,38,73,34,114,61,32,22,109,40,10
WBGene00007345,9,28,11,26,9,19,16,21,8,16,12,14
WBGene00200291,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201510,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00010376,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00010430,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00010431,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007347,290,320,384,448,279,252,387,376,393,295,604,213
WBGene00197973,0,2,0,0,1,2,2,1,0,0,0,1
WBGene00007348,516,498,455,563,481,427,717,643,433,384,787,339
WBGene00007349,42,68,63,48,54,46,71,61,42,41,92,26
WBGene00007351,7,8,11,11,5,9,11,12,6,5,11,1
WBGene00050939,2,0,0,1,0,0,1,0,0,4,0,1
WBGene00195629,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00197186,1,1,0,1,0,1,1,0,0,0,0,1
WBGene00194995,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200054,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022911,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045089,0,1,0,0,1,1,0,0,1,0,0,0
WBGene00200418,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196077,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00198115,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007353,82,142,100,119,107,110,102,105,116,118,189,53
WBGene00007354,133,546,176,270,256,369,248,301,329,491,256,210
WBGene00014667,4349,2881,4589,4203,3860,3071,5430,4858,3789,2763,5456,2747
WBGene00007356,1,3,1,2,0,0,0,1,0,0,0,1
WBGene00044235,0,1,1,1,0,1,0,0,0,0,1,0
WBGene00045148,3,0,0,1,2,2,3,0,1,2,3,0
WBGene00045152,1,1,0,0,0,0,2,0,2,0,0,1
WBGene00200156,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200385,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007357,246,308,275,257,244,237,362,263,333,198,477,171
WBGene00007359,0,0,0,0,0,0,1,1,0,0,0,0
WBGene00044414,44,104,60,75,59,64,111,91,80,61,103,33
WBGene00015500,27,108,32,62,37,89,48,64,57,73,59,33
WBGene00015501,3701,3106,4045,4030,3417,2927,5345,3850,3421,2864,4740,2247
WBGene00015504,3661,2819,4145,3349,3878,2391,5221,3071,3600,2138,5468,1741
WBGene00015505,911,1020,969,1044,879,834,1314,1093,839,776,1395,700
WBGene00198222,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199496,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199573,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200283,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200630,0,0,0,0,0,1,0,0,0,0,0,1
WBGene00015507,654,683,626,681,496,498,933,707,518,469,882,365
WBGene00015509,3788,5986,4383,5177,3922,4295,5883,4813,4229,4728,5870,3084
WBGene00015511,24,94,24,35,32,80,35,46,31,92,35,34
WBGene00197057,0,0,0,2,0,0,1,1,0,1,0,0
WBGene00195521,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199057,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201117,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201674,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00202467,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015516,129,617,206,333,241,489,207,363,350,643,216,262
WBGene00015517,89,187,134,133,94,132,136,145,137,126,156,100
WBGene00007360,0,0,0,0,0,1,1,1,1,0,0,0
WBGene00189947,3,18,1,1,3,7,0,3,6,9,2,4
WBGene00007365,1924,1599,1880,2371,1261,1137,2276,1946,1500,628,2004,913
WBGene00007366,113,162,125,102,115,111,262,181,56,48,134,69
WBGene00007373,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196413,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197393,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200811,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007368,76,157,130,246,51,123,97,155,77,75,114,115
WBGene00007369,0,1,0,1,1,1,1,2,0,2,0,0
WBGene00007372,537,456,523,596,454,389,759,587,490,457,681,328
WBGene00010733,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00010777,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00011346,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044169,8,15,5,7,4,8,6,15,6,8,11,7
WBGene00045404,25,64,25,39,27,43,31,43,16,29,28,27
WBGene00175031,34,39,35,50,17,29,29,55,27,39,43,17
WBGene00189982,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00206526,4,1,0,0,1,1,0,0,0,0,0,1
WBGene00007374,8,27,10,17,7,12,10,14,14,15,15,6
WBGene00007375,6,7,5,6,4,5,16,9,7,3,8,1
WBGene00007376,20,49,24,44,25,33,29,44,27,23,37,27
WBGene00007377,10,7,13,12,9,10,15,4,9,4,20,5
WBGene00014668,6,8,13,8,4,10,8,16,5,7,9,7
WBGene00007379,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00077606,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00206369,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007380,9,71,17,26,12,46,24,37,28,65,13,25
WBGene00007381,39,211,50,70,66,164,56,112,103,163,76,89
WBGene00007382,2,5,2,1,1,2,1,3,5,7,0,2
WBGene00007383,0,1,0,1,1,0,1,0,1,0,1,0
WBGene00015518,162,76,124,119,127,55,168,94,98,33,198,47
WBGene00015526,54,70,38,56,61,56,83,53,46,37,69,37
WBGene00195577,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196981,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197917,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198428,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015522,7,52,13,24,14,30,14,24,23,27,15,15
WBGene00015524,2037,1649,2184,2257,1964,1431,2578,1816,1910,1487,3112,1274
WBGene00015527,36,54,47,50,41,49,45,73,31,30,67,32
WBGene00197211,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197244,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197960,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198057,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015528,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015529,217,124,177,231,153,96,241,190,129,82,243,91
WBGene00044579,0,0,0,1,0,0,1,0,0,0,0,0
WBGene00015530,0,3,0,0,0,1,2,0,0,2,3,0
WBGene00197939,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198699,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199037,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199812,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201402,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00015531,14,30,20,26,12,39,23,27,16,30,33,14
WBGene00201532,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202314,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015532,24,24,27,24,34,19,62,38,26,14,47,15
WBGene00015533,0,0,0,0,0,0,1,0,0,1,0,0
WBGene00015534,0,0,0,0,0,0,2,0,0,0,0,0
WBGene00015535,2,1,0,6,0,3,3,2,7,1,2,0
WBGene00015537,16,83,16,79,6,46,37,46,17,27,24,28
WBGene00022912,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015539,236,419,262,315,218,345,310,295,285,302,356,195
WBGene00015541,109,94,102,131,57,71,117,136,92,90,136,69
WBGene00189995,1,2,0,4,1,1,3,3,0,2,1,0
WBGene00196795,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197617,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199949,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00200982,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201030,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201872,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015544,4,286,12,87,4,176,12,64,10,306,7,19
WBGene00195582,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197812,0,0,0,0,0,0,0,0,0,0,2,0
WBGene00015545,30,123,58,130,44,83,49,59,54,184,86,36
WBGene00197189,7,5,12,5,5,3,4,6,1,5,6,3
WBGene00197243,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197975,0,2,1,0,1,1,1,0,1,1,0,0
WBGene00198383,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199489,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199612,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201203,0,0,0,0,0,0,0,1,0,0,0,1
WBGene00202059,0,0,1,0,0,0,0,0,1,0,0,0
WBGene00015546,1,1,2,5,1,3,5,5,6,15,4,5
WBGene00195401,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196579,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00197103,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022913,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022914,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022915,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022916,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00015549,15,27,14,19,25,35,31,21,20,43,12,19
WBGene00015550,0,0,1,0,0,1,0,0,1,1,0,0
WBGene00015551,1145,1969,1208,1644,1212,1373,1409,1418,1488,2248,1780,1149
WBGene00015552,777,608,751,680,612,509,925,730,580,811,880,400
WBGene00015554,360,406,407,384,337,260,578,357,322,266,629,226
WBGene00015557,2297,1666,2515,2601,2036,1674,3334,2376,2029,1607,2963,1277
WBGene00015558,38,160,66,84,70,113,73,89,100,118,85,67
WBGene00044446,3,0,0,5,2,4,2,1,0,12,3,1
WBGene00199731,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022917,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201058,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007386,985,1273,1063,1133,927,917,1374,1129,1036,897,1394,664
WBGene00007391,800,567,736,656,560,453,877,739,457,357,883,366
WBGene00198771,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00206499,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007394,697,802,654,825,733,559,791,632,888,517,1387,519
WBGene00044795,92,133,109,120,83,111,118,112,110,91,128,57
WBGene00045346,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197381,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197482,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198243,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199374,0,0,0,1,0,0,1,0,0,0,0,0
WBGene00201370,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201382,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202406,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202464,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00206364,4,2,4,1,4,3,4,2,2,10,6,2
WBGene00015560,24,40,24,21,22,22,15,16,21,14,25,18
WBGene00015561,674,643,657,779,570,486,959,749,673,594,968,431
WBGene00196494,0,1,0,0,0,0,0,1,0,0,0,0
WBGene00007397,16,21,12,14,7,9,18,11,16,182,20,14
WBGene00007398,13,90,22,42,18,46,20,38,26,72,29,32
WBGene00196157,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196734,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197790,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197967,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198851,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198896,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00007406,0,0,1,3,0,0,1,0,0,3,0,1
WBGene00043994,34,65,35,58,24,58,50,53,34,65,45,38
WBGene00044227,17,62,24,34,19,43,33,43,36,54,39,32
WBGene00045124,0,1,0,0,0,0,0,0,0,0,1,0
WBGene00199493,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00200150,0,1,0,2,0,1,2,0,2,0,0,0
WBGene00007401,0,0,1,0,2,1,3,0,0,0,0,2
WBGene00007405,169,177,133,208,199,122,202,172,126,203,315,178
WBGene00007407,1,5,0,3,4,2,3,0,1,2,3,1
WBGene00007408,11,24,8,13,8,13,9,13,13,15,13,4
WBGene00007409,130,297,137,192,127,187,177,200,161,189,194,99
WBGene00007410,5,11,8,7,4,9,7,9,4,12,14,6
WBGene00195209,29,21,8,5,17,16,15,4,27,5,10,2
WBGene00197817,0,0,1,0,0,0,1,0,0,0,0,0
WBGene00007411,1,14,1,0,3,2,3,5,3,5,6,4
WBGene00015566,59,99,78,81,39,83,86,82,58,63,65,41
WBGene00015569,342,281,271,335,233,171,382,284,269,170,420,166
WBGene00044673,1,3,2,5,1,3,4,2,1,2,1,1
WBGene00015562,1,1,0,3,1,2,0,2,0,1,1,1
WBGene00015564,0,5,0,0,0,0,0,2,0,3,1,0
WBGene00015565,5419,4097,5525,5551,5003,2781,6616,4997,4904,2485,9060,3275
WBGene00007420,3,2,3,8,7,1,6,5,3,6,6,0
WBGene00195392,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196173,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200273,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201527,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007414,110,181,95,141,81,101,110,133,95,193,151,100
WBGene00007415,6,25,6,11,8,18,11,13,18,20,12,12
WBGene00007418,4,8,4,4,2,4,5,6,3,6,3,4
WBGene00007419,209,359,258,300,183,220,387,296,229,247,315,195
WBGene00015570,15,23,24,24,11,31,17,15,13,33,28,22
WBGene00197541,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00198764,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199304,2,0,1,1,0,0,1,0,0,1,0,0
WBGene00200005,0,0,1,0,1,0,0,1,0,1,2,0
WBGene00201991,5,4,10,9,6,7,3,7,5,8,9,5
WBGene00015572,66,255,63,109,83,136,100,131,129,153,149,95
WBGene00015573,24,6,4,2,11,5,5,3,14,5,2,5
WBGene00200598,1,0,0,1,0,0,0,0,1,0,0,0
WBGene00015578,5,10,11,10,3,6,9,7,7,3,9,8
WBGene00196310,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015576,13,26,15,20,10,12,30,13,26,21,14,16
WBGene00007421,164,299,196,301,157,178,264,235,138,249,205,130
WBGene00195984,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200843,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044945,0,0,0,1,1,0,0,0,0,0,0,0
WBGene00195915,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00196983,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197539,0,0,0,1,0,1,0,0,0,0,1,0
WBGene00198521,0,0,0,0,1,1,0,0,0,0,0,0
WBGene00198566,0,0,1,1,0,1,0,0,0,0,0,0
WBGene00199415,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199514,1,0,1,0,0,0,0,0,0,0,0,0
WBGene00201594,0,0,0,0,1,1,0,1,0,0,0,0
WBGene00015579,1050,991,1099,1080,963,661,1399,998,1035,710,1761,645
WBGene00015581,4559,4321,4876,5201,4289,3710,6159,4777,4519,3822,6548,2853
WBGene00015582,6,23,18,20,13,21,18,23,15,17,14,13
WBGene00044773,496,648,556,560,464,518,814,629,501,453,882,330
WBGene00045273,32,19,59,29,25,25,37,28,46,32,47,14
WBGene00201961,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023233,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015583,0,1,0,0,0,0,0,1,0,2,2,0
WBGene00199112,1,0,0,0,0,0,0,0,0,0,2,0
WBGene00200795,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00201642,0,0,1,0,0,0,1,0,0,0,0,0
WBGene00007436,796,781,834,803,818,552,1072,735,775,496,1245,467
WBGene00007430,126,227,115,190,130,140,165,175,140,199,175,105
WBGene00007431,218,216,206,200,211,154,249,182,209,160,280,83
WBGene00044044,0,1,0,0,0,0,0,0,1,1,0,0
WBGene00077449,5,4,4,7,6,5,4,3,6,3,12,7
WBGene00199704,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200490,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007423,31,42,32,60,10,27,37,43,11,19,22,18
WBGene00007424,104,238,159,206,109,200,184,185,146,106,255,100
WBGene00007425,12,8,11,10,4,9,18,10,6,15,11,3
WBGene00007426,1,1,1,0,0,0,0,1,2,0,2,0
WBGene00007427,4,11,2,5,5,8,6,13,2,11,3,8
WBGene00007429,1216,1087,1306,1248,1203,866,1723,1166,1087,747,1744,713
WBGene00199616,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200613,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195506,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196265,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197139,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198118,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015592,24,50,28,39,28,55,43,44,23,75,36,29
WBGene00044957,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199180,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00199323,0,2,0,2,1,3,2,2,2,1,3,0
WBGene00200331,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015593,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015605,0,5,0,3,0,1,0,0,0,5,1,4
WBGene00044415,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00044416,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007437,6,11,6,3,5,12,13,5,3,2,10,4
WBGene00077692,44,61,87,92,71,47,72,83,70,65,115,59
WBGene00119201,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195296,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199733,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202381,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202466,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007438,0,2,0,1,0,1,0,1,0,0,0,0
WBGene00007439,7,13,8,8,4,8,7,6,7,4,11,6
WBGene00007440,38,88,14,61,30,61,26,99,13,158,18,38
WBGene00007441,2,0,1,5,0,0,0,1,1,0,1,0
WBGene00007442,1,1,1,0,0,0,0,1,0,1,1,0
WBGene00045487,0,0,0,1,0,0,1,1,0,0,0,0
WBGene00045496,0,1,1,0,0,0,0,0,0,0,0,0
WBGene00050891,0,0,2,0,0,0,1,0,0,1,0,0
WBGene00014670,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014671,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00011470,0,1,0,1,0,0,0,0,0,2,0,0
WBGene00015613,85,8,25,21,17,4,71,17,9,7,39,7
WBGene00044417,11,4,2,7,0,1,28,5,3,1,11,1
WBGene00015610,115,20,47,24,24,15,77,37,17,15,67,8
WBGene00015611,10,6,7,2,7,2,4,9,0,8,8,4
WBGene00007450,40,56,44,33,41,34,69,56,37,32,54,15
WBGene00007457,122,459,169,299,184,310,210,263,272,434,267,221
WBGene00194668,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007459,6,6,4,5,6,3,10,2,3,0,4,1
WBGene00007460,670,1124,540,836,451,710,894,921,384,1082,678,618
WBGene00007461,20,234,24,75,47,135,53,128,70,216,49,63
WBGene00045068,1,0,1,0,0,1,0,0,1,1,0,0
WBGene00045069,0,0,0,0,0,0,0,2,0,0,1,0
WBGene00045285,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00045286,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007451,0,2,0,0,0,0,0,0,0,0,0,0
WBGene00007452,12,38,7,31,13,15,11,50,17,67,13,12
WBGene00014672,33,20,8,8,43,7,12,12,28,12,6,6
WBGene00007454,106,85,16,26,141,61,34,38,87,61,38,19
WBGene00196519,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197093,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198087,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00200538,1,0,0,1,0,0,1,1,0,2,0,1
WBGene00202476,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00219217,26,5,12,15,5,8,16,14,7,5,12,1
WBGene00007444,1736,1580,1833,1780,1630,1247,2413,1711,1617,1216,2395,1015
WBGene00007445,2746,2156,2853,2766,2607,1657,3505,2606,2312,1708,4014,1650
WBGene00007448,166,756,237,388,295,460,285,413,388,724,426,325
WBGene00007449,704,777,741,901,776,654,979,927,689,628,1072,620
WBGene00015614,5,14,12,11,5,8,8,7,13,14,12,3
WBGene00015616,7,50,8,41,14,38,15,24,25,56,23,12
WBGene00015618,12,13,12,13,10,19,12,21,8,9,18,8
WBGene00044418,58,119,62,106,47,81,83,85,61,95,71,62
WBGene00201381,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00015619,216,347,264,295,235,282,348,289,245,421,345,194
WBGene00200730,0,2,0,0,0,0,0,0,0,1,0,0
WBGene00015620,74,25,64,52,52,19,67,34,52,22,80,18
WBGene00195661,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00197690,1,0,1,1,0,0,0,0,0,0,0,1
WBGene00199437,1,2,1,0,2,2,4,0,1,1,0,1
WBGene00200031,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200235,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200600,0,0,0,0,0,0,0,1,1,0,0,1
WBGene00007462,24,47,48,28,21,21,28,27,29,48,41,27
WBGene00007474,179,387,206,264,212,245,307,197,255,197,541,126
WBGene00086566,1172,1193,1226,1261,1077,948,1626,1176,1145,957,2063,705
WBGene00206395,0,0,0,0,0,2,0,1,1,0,0,1
WBGene00007468,1,0,3,1,0,0,0,1,0,1,3,0
WBGene00014673,4,4,4,3,2,0,2,6,1,2,4,2
WBGene00201493,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201784,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202106,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00015621,228,252,233,236,194,206,321,311,180,201,315,120
WBGene00022918,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022919,1,0,0,0,0,0,0,0,0,0,1,1
WBGene00195451,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197296,1,1,1,1,2,0,1,1,1,1,2,0
WBGene00198117,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199142,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200546,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00195383,0,0,0,0,0,0,0,0,1,0,0,1
WBGene00195664,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00196687,3,2,0,4,4,2,2,4,1,0,1,2
WBGene00197859,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198364,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198623,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199961,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201468,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202010,0,0,0,1,0,0,0,0,0,0,1,1
WBGene00015622,3,1,0,1,1,1,2,4,1,5,2,0
WBGene00015623,265,8,305,69,198,15,342,53,151,5,423,14
WBGene00015624,177,98,173,124,118,79,214,133,94,57,159,47
WBGene00015625,22,31,11,16,27,17,28,18,28,21,39,10
WBGene00015626,10,8,9,10,4,6,11,12,8,16,6,7
WBGene00015627,133,527,190,281,216,343,251,283,313,451,320,242
WBGene00015629,121,518,189,292,191,358,221,290,284,439,255,245
WBGene00015630,30,199,48,102,67,166,59,137,99,218,60,96
WBGene00199124,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199503,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200272,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200871,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201945,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022920,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198511,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198824,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200992,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015632,542,1129,690,1027,487,767,840,997,500,928,666,687
WBGene00015633,800,1042,849,906,652,760,1076,981,747,700,895,462
WBGene00015634,143,603,161,285,225,433,244,341,326,548,270,265
WBGene00015635,3078,2742,3315,3434,3000,2621,4297,3177,3072,2526,4323,1934
WBGene00015636,0,0,1,0,2,0,1,0,1,0,1,0
WBGene00199116,0,1,1,0,0,0,1,2,0,0,1,0
WBGene00206357,6,48,10,15,8,21,31,23,23,28,12,19
WBGene00198321,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199658,1,0,0,0,0,0,1,1,1,0,0,0
WBGene00200586,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201194,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00202196,0,0,0,0,0,0,1,0,0,0,0,0
