wormbase_gene,JA1,JA2,JA3,JA4,JA5,JA6,JA10,JA11,JA12,JA13,JA14,JA15,JA19,JA20,JA21,JA22,JA23,JA24,JA28,JA29,JA30,JA31
WBGene00007063,706,803,480,295,559,202,468,794,413,807,324,292,190,1012,761,611,815,753,1015,569,1144,613
WBGene00200402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00195865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
WBGene00197051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199694,19,16,16,15,15,1,8,5,9,7,2,3,6,14,7,11,9,12,16,12,19,6
WBGene00199940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
WBGene00007066,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
WBGene00007067,42,23,20,28,54,26,17,28,24,41,16,15,26,39,42,43,49,58,94,54,113,73
WBGene00007069,3,9,4,5,8,5,5,8,3,12,2,4,3,7,4,11,11,7,6,3,9,7
WBGene00077502,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00077503,1,1,1,1,2,3,0,1,0,0,1,0,0,1,0,0,0,0,3,0,1,0
WBGene00077504,3,2,1,1,2,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,1,0
WBGene00195634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199275,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,2,0,2,2
WBGene00200016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007071,3874,4468,3007,2059,3824,2053,2034,2487,1882,2729,1189,1168,991,3006,2020,2398,2238,2612,1148,1065,1954,1121
WBGene00044022,1,1,1,0,3,0,2,2,0,0,0,0,1,1,1,3,2,1,3,2,3,1
WBGene00014997,10,8,5,4,7,14,0,0,2,0,0,0,3,1,6,0,0,0,4,1,6,1
WBGene00004054,25,18,17,11,28,15,10,9,8,16,13,0,2,16,13,8,17,14,15,7,9,8
WBGene00043988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00043989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00043990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007074,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0
WBGene00007075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
WBGene00007076,0,0,3,3,12,9,0,0,1,5,0,3,3,4,0,9,0,7,12,4,6,6
WBGene00007077,2,3,1,0,4,1,0,1,0,0,0,0,0,0,2,1,0,2,2,0,1,1
WBGene00007078,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0
WBGene00007079,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,6,0
WBGene00043987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007083,9,7,2,4,6,2,1,2,0,0,0,1,2,3,3,0,4,2,10,5,7,4
WBGene00007085,0,1,0,0,0,1,0,0,2,1,0,1,1,0,1,0,0,0,4,0,0,1
WBGene00197015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197630,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,1,0,3,3,2,2,3
WBGene00201406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007081,21,28,23,26,40,26,2,0,0,1,0,0,3,1,6,2,4,2,8,2,8,1
WBGene00014998,17,24,19,7,19,16,14,27,14,21,5,12,11,29,25,27,13,19,64,22,53,22
WBGene00014999,787,948,539,410,947,444,717,1118,587,1117,419,370,638,1659,1229,975,1205,1183,1646,638,1644,825
WBGene00015000,7,7,3,12,14,10,6,9,4,14,2,1,8,7,8,10,10,13,30,11,30,14
WBGene00044701,38,48,28,27,52,25,23,36,11,40,21,8,16,28,22,37,37,35,114,43,83,48
WBGene00175029,0,1,0,1,4,0,2,1,1,1,0,0,1,0,0,1,1,2,5,6,3,4
WBGene00196931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1
WBGene00197796,4,9,4,2,3,1,0,3,2,3,2,2,2,5,4,4,3,1,14,4,22,6
WBGene00200968,0,1,2,0,3,1,1,2,2,1,0,0,0,1,0,0,0,3,2,1,3,2
WBGene00007087,7222,8428,5513,3944,7787,3995,5301,7265,5021,9649,4353,4156,2888,7948,6588,5858,7929,8797,4648,2800,6598,3601
WBGene00007088,3263,4111,2561,1996,4028,2047,2548,3440,2095,4631,1860,1898,1661,3877,3179,3620,3835,4459,3357,1564,3928,2061
WBGene00007089,3552,4305,2706,2123,4194,2238,3332,4782,2812,6191,2461,2480,2522,5027,4251,5372,5346,6115,4325,2125,5296,2735
WBGene00007090,2705,3549,2132,1755,3761,1919,1793,2393,1396,3264,1157,1317,1528,2893,2468,2902,2922,3418,1894,772,2197,1031
WBGene00007092,4176,4978,3381,2386,4628,2367,4010,5122,3776,6704,2802,3075,2373,6540,5081,4803,5172,6205,4316,2370,5773,3017
WBGene00007093,3033,3392,2376,1672,3301,1955,2941,3828,2704,5476,2252,2358,1900,4308,3623,3395,4103,5149,2547,1333,3319,1651
WBGene00007094,2775,3207,2333,1587,3051,1734,3149,4067,3041,5554,2784,2782,2545,4719,4200,5258,5001,6650,5236,2627,6309,3402
WBGene00007101,4793,5268,3831,2692,4945,3182,4211,5476,4405,7722,3771,3990,3274,6309,5785,5503,6664,9186,5246,3018,7208,3977
WBGene00007102,2372,3154,1994,1773,3624,1933,3241,4196,2673,5930,2569,2509,3693,4266,3629,6714,5116,6119,4274,1545,4531,2182
WBGene00007104,19,13,8,18,25,13,13,7,1,13,4,7,6,8,13,8,11,18,24,14,24,9
WBGene00197715,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00198491,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0
WBGene00007096,49,72,44,30,59,40,15,22,14,30,14,15,19,24,28,23,39,22,55,30,60,33
WBGene00007097,39,39,21,24,59,27,83,138,66,225,87,70,52,94,69,61,73,62,407,299,515,299
WBGene00015001,1629,1945,1353,1264,2442,1371,1434,2135,1158,2434,1355,1162,2060,2080,1711,3371,2383,2661,2160,912,2171,1170
WBGene00194700,63,72,43,45,104,67,11,8,2,3,0,1,6,8,11,6,4,4,14,2,21,9
WBGene00200669,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00015002,67,89,63,67,125,93,20,23,9,30,8,9,13,30,21,34,31,27,97,49,112,55
WBGene00197686,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
WBGene00197958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00199621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2
WBGene00200808,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
WBGene00202395,2,1,3,1,1,0,0,2,0,1,0,0,0,2,1,4,2,3,5,2,3,1
WBGene00015003,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015004,5,19,8,4,7,11,3,2,1,1,0,0,2,4,7,8,3,8,11,6,20,15
WBGene00015005,12,13,10,8,16,12,21,13,6,25,8,11,14,14,12,16,16,18,24,12,33,13
WBGene00044394,25,25,8,15,27,21,8,13,8,10,9,11,5,10,10,16,19,15,26,16,31,21
WBGene00196414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007112,2024,2478,1457,1820,3170,1990,924,1339,714,1835,831,779,1063,1734,1366,1700,1765,1765,248,142,301,168
WBGene00007113,2297,2513,1789,1752,3069,1933,1543,2419,1521,2890,1567,1347,2348,2074,1802,3122,2586,3321,2349,1096,2486,1404
WBGene00044290,684,974,644,537,1158,740,1048,1353,747,1629,712,584,1341,1222,1020,1927,1528,1822,1229,438,1147,569
WBGene00196590,2,1,1,1,0,1,0,0,2,1,0,1,1,1,0,0,2,0,2,0,4,1
WBGene00007106,2601,3794,2013,1827,4388,2140,3045,4285,2151,5395,1905,1965,2962,3752,3152,5167,4776,4667,3449,1270,3886,1757
WBGene00015006,15,13,6,8,20,12,0,5,1,7,2,1,6,3,9,14,3,8,9,4,22,6
WBGene00198277,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
WBGene00015009,4531,5823,3532,2934,6002,3088,3762,5059,2984,7049,2865,2767,3272,5010,4163,6326,5497,6782,4410,1848,4685,2450
WBGene00015011,4888,6650,3942,3804,7652,4164,4677,6682,3822,8480,4184,3866,4878,5880,5043,7176,6819,8332,4328,1885,5032,2459
WBGene00045087,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1
WBGene00202471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007115,66,107,61,55,126,43,43,82,40,68,38,33,36,91,91,106,95,108,110,46,129,53
WBGene00007116,286,358,195,126,286,125,108,166,91,172,47,51,86,252,228,226,199,222,378,196,372,246
WBGene00196331,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
WBGene00197531,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
WBGene00198743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00015017,4370,4807,3530,2246,4301,2469,4109,5492,3947,7138,3259,3342,2730,7261,6000,5075,6415,7772,5528,3134,7056,3803
WBGene00015024,141,156,82,91,210,145,3,8,7,2,2,3,2,8,36,11,9,4,37,12,45,23
WBGene00044413,233,361,188,170,490,225,166,245,115,301,122,106,229,261,215,352,354,345,310,77,281,118
WBGene00044644,54,82,33,134,278,178,28,63,28,70,40,32,138,156,129,238,232,297,867,428,1179,584
WBGene00044646,6,11,5,18,32,23,3,5,8,16,6,5,31,24,27,30,26,65,195,94,242,114
WBGene00194999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,1
WBGene00198848,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
WBGene00015019,38,54,26,19,27,17,10,10,4,16,6,3,12,8,3,13,6,10,18,10,25,13
WBGene00015020,4,9,3,4,11,14,1,4,1,4,7,2,5,3,4,5,7,12,4,1,6,0
WBGene00015021,2941,3498,2306,1753,3526,1912,2002,2970,1954,3694,1557,1470,1433,3217,2560,2291,3049,3555,2962,1567,4094,2131
WBGene00015022,1243,1526,931,932,1984,948,1135,1653,846,2025,943,821,1955,1787,1407,2913,2095,2341,2245,813,1987,935
WBGene00015023,3621,4212,3091,2042,4051,2375,3752,4842,3637,6773,3108,3293,2496,6002,5435,4984,5808,7650,4482,2352,5477,2971
WBGene00015026,18,18,11,13,15,13,1,4,0,2,1,0,3,5,6,2,4,3,16,10,9,5
WBGene00015033,4,6,3,5,9,4,1,6,2,4,6,1,4,6,3,5,0,5,7,1,6,8
WBGene00015034,8,9,6,9,12,13,0,2,0,0,0,1,0,0,2,1,0,0,5,0,9,6
WBGene00195755,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197736,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
WBGene00198238,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
WBGene00200550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015027,31,48,22,22,60,29,22,35,11,58,22,8,29,30,35,42,34,45,34,11,36,9
WBGene00015028,53,40,37,15,29,15,34,43,38,60,29,29,43,62,59,77,58,87,111,74,130,97
WBGene00015029,1915,2435,1470,1264,2408,1360,2037,3054,1818,3750,1713,1681,1594,2869,2375,3050,3130,3776,2629,1234,3206,1606
WBGene00015030,10,20,9,7,13,10,1,2,3,1,1,0,1,1,6,4,0,3,3,2,6,3
WBGene00015031,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015032,6,18,11,7,21,18,0,0,0,0,0,1,0,1,2,3,1,0,2,0,3,0
WBGene00015037,786,897,625,397,812,374,685,992,663,1170,484,491,380,935,736,659,811,900,689,470,918,501
WBGene00200460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
WBGene00201697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00022894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00194991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201444,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
WBGene00015049,27,37,15,12,29,21,10,13,5,9,5,4,6,7,12,13,9,6,17,7,13,10
WBGene00015051,91,108,50,47,112,70,4,8,1,1,2,4,1,1,7,3,4,1,18,5,11,0
WBGene00015053,24,31,14,14,41,18,18,17,8,26,9,7,18,25,11,34,32,37,78,27,73,35
WBGene00015058,1,5,1,0,4,3,5,1,2,4,1,0,0,4,2,6,7,2,12,7,16,8
WBGene00044582,37,61,40,28,52,33,13,23,12,25,13,8,29,33,35,27,42,53,32,19,43,31
WBGene00201384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015056,694,946,528,439,957,536,327,435,266,477,196,208,310,660,563,692,587,742,566,403,909,503
WBGene00015059,323,411,239,274,556,334,80,137,70,118,62,59,136,211,173,252,200,238,195,138,320,164
WBGene00015063,203,214,173,109,158,83,53,102,59,86,46,35,43,142,103,96,102,132,217,103,198,140
WBGene00015064,1527,1750,1279,1057,2100,1330,1059,1476,1053,2037,969,959,1205,1380,1310,1621,1601,2179,1239,620,1400,839
WBGene00015065,0,1,1,0,0,0,1,0,0,1,0,0,1,0,2,1,0,1,3,0,2,1
WBGene00015066,0,1,0,0,0,1,0,2,0,2,1,1,1,0,2,6,2,4,6,3,7,1
WBGene00022896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015067,179,216,145,155,266,173,240,312,196,388,179,207,250,368,281,340,379,502,208,142,356,175
WBGene00015075,6055,7965,4959,4118,8335,4445,5317,7014,4116,9239,3861,3839,4370,7412,6109,8611,8258,9351,7027,3171,8233,3955
WBGene00015076,89,124,76,72,144,57,634,1023,444,669,262,274,1131,2215,1609,2111,2182,2521,4274,2656,7690,3461
WBGene00015077,2,0,0,1,1,1,8,8,5,11,5,6,5,14,9,31,18,27,9,3,10,7
WBGene00044537,28,34,17,25,33,21,16,30,11,30,16,9,26,21,27,29,22,36,19,6,19,5
WBGene00199827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015071,1,0,1,0,1,2,4,0,2,1,0,2,0,5,1,1,1,1,2,2,2,3
WBGene00015073,6394,7643,5059,3916,7501,4337,6388,8160,5738,11435,4846,5500,5680,10028,8318,11545,10686,13652,8816,3908,10772,5273
WBGene00197623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
WBGene00015085,126,178,104,106,219,108,94,134,47,129,67,61,81,139,106,161,149,134,153,50,152,84
WBGene00015086,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,3,0
WBGene00196359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
WBGene00015079,27,33,14,15,48,15,3,3,1,4,1,4,2,4,3,3,6,9,12,4,8,3
WBGene00015080,16,47,12,28,43,17,27,26,16,30,23,18,39,47,47,64,53,52,92,57,86,46
WBGene00015081,70,81,48,50,113,43,46,50,26,68,34,17,56,72,43,94,68,78,137,56,129,74
WBGene00015082,13,18,6,4,5,4,5,7,4,13,3,9,7,10,11,12,13,10,15,8,21,8
WBGene00015084,14,34,15,21,37,27,1,6,1,6,1,4,2,3,3,8,4,7,19,6,11,6
WBGene00022897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00050926,5,15,6,7,13,6,6,10,5,18,3,7,4,6,11,16,11,8,9,10,14,6
WBGene00050927,55,62,45,39,81,32,22,29,17,30,22,14,69,54,63,70,63,57,101,44,99,35
WBGene00189978,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,2,0,3,0,3,0
WBGene00196688,1,2,2,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0
WBGene00197937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198398,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00007120,28,44,100,28,50,38,52,33,51,39,6,41,31,40,81,115,39,130,35,16,46,22
WBGene00007121,234,319,193,177,298,108,155,248,127,227,93,83,208,446,374,389,361,414,811,368,794,382
WBGene00007122,4912,6495,3921,2907,6754,3027,2751,3818,1961,4919,1757,1674,1575,3771,2981,2988,3790,3877,2549,1092,3256,1387
WBGene00007124,322,424,290,232,452,264,244,343,245,445,190,216,242,462,420,480,456,601,347,182,396,208
WBGene00007125,13,24,12,6,26,18,6,17,12,21,10,8,11,18,14,27,26,31,11,5,14,8
WBGene00015087,200,274,185,179,299,159,124,170,110,242,133,82,193,383,323,227,293,285,309,144,468,236
WBGene00015088,892,1122,711,544,1109,571,471,670,409,739,344,332,375,822,643,749,699,913,577,378,805,453
WBGene00015089,75,71,38,34,71,56,14,7,9,9,6,3,28,14,18,7,9,22,10,5,17,8
WBGene00044615,59,91,66,55,125,77,33,58,28,68,31,20,76,70,56,101,69,89,56,32,91,43
WBGene00015091,5890,6725,4793,3344,6443,3592,5004,6505,4690,8624,4061,4290,3882,8114,7007,8686,8101,10452,9481,4598,10903,5750
WBGene00015093,14,18,10,23,31,17,4,2,1,4,1,0,0,2,5,6,4,4,5,0,11,3
WBGene00015094,93,141,82,73,149,102,1,3,6,4,2,2,14,12,10,9,14,7,42,3,42,21
WBGene00015095,7553,9589,6077,4871,10306,5286,7749,10484,6230,14878,6260,5903,6709,9837,8429,11481,11105,13629,9542,4356,11729,5559
WBGene00015096,854,957,662,564,1042,547,444,620,382,720,342,343,555,778,653,910,804,1021,804,349,841,500
WBGene00195057,1,8,4,7,5,6,4,5,4,16,5,8,14,8,4,19,14,11,12,9,5,2
WBGene00007129,4040,4662,3085,2304,5081,2816,2830,4147,2448,4761,1837,1895,2069,4199,3626,2585,3699,4426,3136,1633,4058,2068
WBGene00007130,658,820,458,378,785,413,324,542,246,525,195,188,158,405,301,269,329,360,659,430,1095,481
WBGene00015097,51,69,32,37,52,32,9,13,11,13,6,4,24,26,30,23,27,31,110,71,130,64
WBGene00199390,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
WBGene00199932,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
WBGene00200969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202409,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,2,1
WBGene00015106,24,31,20,18,49,26,3,2,2,1,1,3,6,6,8,5,3,10,12,8,14,11
WBGene00044674,202,222,137,138,258,153,24,43,26,57,25,27,49,51,59,66,62,67,78,44,86,46
WBGene00195674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015100,22,28,20,25,47,16,8,14,5,11,8,3,12,16,8,22,19,19,76,22,64,49
WBGene00201910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015103,22,25,16,9,32,23,25,38,27,65,25,19,16,21,17,24,23,31,17,7,25,8
WBGene00015104,4294,5454,3492,2606,5429,2969,3757,5043,3247,6669,2816,3087,2994,5070,4441,5530,5590,6709,4840,2094,5817,2986
WBGene00015108,0,2,0,0,3,2,2,7,4,11,6,8,2,7,7,7,5,13,4,3,7,2
WBGene00015110,294,335,217,217,418,204,354,593,287,520,241,231,503,675,524,705,677,804,427,277,621,367
WBGene00015111,63,97,51,53,95,69,13,29,15,37,17,15,22,17,20,20,31,32,16,13,34,16
WBGene00015112,975,1168,774,632,1346,670,465,716,413,597,274,266,690,1044,846,664,741,792,852,492,773,439
WBGene00015113,17,17,3,11,24,16,9,13,5,21,4,3,18,24,23,26,26,24,27,6,36,19
WBGene00023225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
WBGene00015114,1,0,0,0,0,0,0,1,0,5,0,2,0,1,0,2,1,2,4,6,1,3
WBGene00007133,157,160,131,88,195,101,65,119,57,106,47,47,146,194,149,143,133,166,226,109,227,131
WBGene00045188,4,6,2,3,2,1,15,22,14,30,13,5,15,22,11,33,13,32,86,40,70,37
WBGene00198895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00014641,1,1,1,2,5,2,1,0,1,1,0,1,0,2,0,1,1,2,4,3,3,2
WBGene00197514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00197767,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
WBGene00198795,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00007136,1576,2040,1289,1253,2625,1524,1566,2348,1420,2923,1253,1298,2739,2604,2173,3750,2886,3556,2928,1115,2933,1305
WBGene00007138,42,58,46,33,55,32,43,56,34,65,18,34,27,82,55,60,68,71,49,42,75,43
WBGene00007475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015115,343,431,274,300,483,282,108,176,96,204,95,71,225,262,207,314,240,324,660,265,509,278
WBGene00199439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015117,30,32,19,18,38,27,19,26,16,22,10,6,25,37,35,56,35,48,47,25,73,25
WBGene00015118,4,2,1,3,4,2,2,4,1,3,2,0,3,4,0,7,8,5,12,0,10,3
WBGene00015119,4,5,8,3,3,7,9,16,1,5,2,5,6,14,7,8,6,11,16,10,22,9
WBGene00015121,7,4,0,2,5,3,12,8,5,9,5,2,3,11,2,5,5,12,16,6,6,6
WBGene00015122,650,697,434,423,800,478,595,998,502,972,377,354,413,1073,804,1109,1078,1262,524,316,796,369
WBGene00201064,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0
WBGene00015131,1005,1136,771,701,1306,745,657,856,554,989,364,351,449,926,648,862,731,988,632,465,1007,543
WBGene00015132,343,391,259,187,379,219,383,483,378,575,244,285,280,543,453,438,513,698,576,311,640,378
WBGene00044678,10,10,8,5,3,5,2,5,4,4,4,4,5,5,7,14,8,9,17,6,9,3
WBGene00197908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015125,10667,12015,8198,5653,11429,6564,6794,9318,6133,11081,4516,4713,4625,12349,10003,8551,10265,12800,9203,5004,12014,6519
WBGene00015126,6085,7239,4697,3265,6644,3326,5591,7344,4948,10122,4235,4477,3227,7954,6678,7389,7811,9813,6049,3174,7357,3976
WBGene00015128,1184,1381,879,615,1384,696,1100,1561,940,1850,721,750,635,1878,1523,1307,1674,1827,1761,923,2270,1157
WBGene00196970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015134,1823,2263,1480,1231,2829,1442,2373,3188,1804,4383,1864,1806,2143,2725,2380,3675,2997,4030,2268,933,2767,1279
WBGene00015136,364,410,289,314,542,343,721,1045,634,1264,631,603,923,924,849,1411,1176,1522,1276,457,1327,650
WBGene00015137,284,326,238,191,373,218,43,75,43,104,37,36,15,42,41,38,39,45,14,8,30,20
WBGene00200480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00201176,1,2,1,0,2,2,0,4,0,2,1,4,1,4,2,3,1,3,1,3,1,2
WBGene00201813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00015138,494,655,426,345,734,339,321,443,297,434,171,196,255,632,473,381,414,424,446,225,565,297
WBGene00015139,31,16,8,13,25,11,7,19,13,31,10,12,14,25,17,30,19,35,47,30,45,31
WBGene00015142,24,26,10,16,35,18,4,8,3,4,4,4,4,1,3,2,5,2,13,2,8,2
WBGene00199361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199392,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
WBGene00200462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007148,1,8,3,8,14,10,5,13,0,8,3,6,13,3,7,11,15,10,12,1,9,8
WBGene00007539,2,8,1,1,7,3,3,3,1,3,0,2,1,0,1,1,3,1,3,2,3,4
WBGene00007149,24,25,17,18,35,31,5,9,4,17,4,6,2,1,3,1,2,3,8,2,3,7
